Proposal Name,OSO Slug,Status,Initial Delivery Date,OP Delivered,OP Total Amount,Intent,Chains,Attribution,Min Attribution Weighted,Defillama Slugs,Scope,Coincentives,Comments,Recipient Address,Proposal Link
Morpho (Base) Grant Application,morpho-org,Sent,2025-04-10,"200,000","500,000",TVL,BASE,1%,1.00%,morpho-v1,,Yes,"• A subset of the target pools were also co-incentivized via SuperStacks; assume 1% (20K OP)
• Grant was intended to be distributed only on Base, excluding other chains from the TVL calculation.",0xF057afeEc22E220f47AD4220871364e9E828b2e9,https://app.charmverse.io/op-grants/morpho-base-grant-application-4999213785903762
Morpho USDT0 Growth Grant Application,morpho-org,,,,"500,000",TVL,OPTIMISM;INK,50%,93.00%,morpho-v1,Subset of vaults,Yes,• A subset of the target pools were also co-incentivized via SuperStacks; assume 1% (20K OP),0xF057afeEc22E220f47AD4220871364e9E828b2e9,https://app.charmverse.io/op-grants/morpho-usdt0-growth-grant-application-6688681010906006
Morpho Co-Incentives (World Chain),morpho-org,Sent,2025-04-24,"185,600","464,000",TVL,WORLDCHAIN,50%,96.00%,morpho-v1,,Yes,"• Grant was intended to be distributed on World, excluding other chains from the TVL calculation.
• A subset of the target pools (e.g. WETH) were also co-incentivized via SuperStacks; assume 1% (20K OP)",0x8C00371AEf2482477c15c878D58044d64A7FCcA3,https://app.charmverse.io/op-grants/morpho-co-incentives-world-chain-0074971389136164746
Sake Finance,sake-finance,Sent,2025-04-10,"100,000","250,000",TVL,SONEIUM,10%,10.00%,sakefinance,,Yes,"• Total of 70M ASTR *($1.7M at ASTR price of $0.024)* committed to growing TVL on Soneium via the ACS campaign (2/20 and 5/30)
• Assumes 20% of ACS incentives went to Sake, ie, $340K
• A subset of the target pools (e.g. USDT0) were also co-incentivized via SuperStacks; assume 15% (300K OP)",0x66D16538f08D2fec7446bF81E4D04d683f3C3637,https://app.charmverse.io/op-grants/sake-finance-12936212467889252
Spark Liquidity Layer and Savings Deployment on Optimism and Ink,sparkdotfi,Sent,2025-04-17,"800,000","2,000,000",TVL,OPTIMISM; UNICHAIN; INK,50%,77.00%,spark-liquidity-layer,Subset of stables,Yes,"• Grant was intended to be distributed on OP Mainnet, Unichain, and Ink, excluding other chains from the TVL calculation.

• Incentives specifically targeted stablecoins (USDS, sUSDS, and USDC), excluding other assets.

• Spark mentioned it was planning to deploy extra incentives on top of the grant, but the amount is unknown. Assume $500K.",0xF649956f43825d4d7295a50EDdBe1EDC814A3a83,https://app.charmverse.io/op-grants/spark-liquidity-layer-and-savings-deployment-on-optimism-and-ink-8531253064654793
"Uniswap on Superchain (OP, INK, Unichain)",uniswap,Sent,2025-04-24,"200,000","500,000",TVL,OPTIMISM; UNICHAIN; INK,1%,0.70%,uniswap-v3; uniswap-v4,Subset of pools,Yes,"• Grant was intended to be distributed on Unichain (40%), OP Mainnet (30%), and Ink (30%), excluding other chains from the TVL calculation.

• TVL growth on Unichain should be attributed to this grant based on its share of the total incentives (OP grant & Uniswap's campaign).

• With 3,541,568 UNI ($27.5M at UNI price of $7.77) deployed on Unichain to incentivize TVL growth, this grant accounts for 1.0% of the total incentives (Uniswap: $27.5M ≈ 47.9M OP at OP price of $0.574; Grants Council: 500K OP)

• Uniswap was also targeted with SuperStacks campaigns on Unichain; assume 35% (700K OP)",0x1026D3D219098D7b1B0A180F7E557DEeA7DA82C1,https://app.charmverse.io/op-grants/uniswap-on-superchain-op-ink-unichain-01379445297945825
Velodrome Finance,velodrome,Sent,2025-04-04,"400,000","1,000,000",TVL,INK; LISK; MODE; SONEIUM; SWELLCHAIN; CELO; SUPERSEED; METAL; UNICHAIN,35%,37.29%,velodrome-v2; velodrome-v3,Subset of pools,Yes,"• Grant was intended to be distributed among a set of pools, excluding the remaining pools from the TVL calculation.

• A subset of the target pools (e.g. CL1-WETH/kBTC) were also co-incentivized via SuperStacks; assume 5% (100K OP)

• Assumes $100K of ACS incentives went to Velo on Soneium

• List of incentivized pools: https://docs.google.com/spreadsheets/d/e/2PACX-1vSCCL8F2En3vx4v_ix7F316AR8JnkeOAzviOv3_wMTnloBWB6b6aWTtbDEa7EpGr1LcGT2zTDh93x4g/pubhtml",0xb074ec6c37659525EEf2Fb44478077901F878012,https://app.charmverse.io/op-grants/velodrome-finance-40205294652854406
iETH,dinero-protocol,,,,"50,000",TVL,INK,5%,5.00%,velodrome-v2,Subset of pools,No,"• Grant scope was limited to iETH/WETH pool on Velodrome on Ink, excluding the remaining pools from the TVL calculation.",0x6B1d3f8882fCA07416184D68f2906d0C3725a4aA,https://app.charmverse.io/op-grants/ieth-9577576120465854
WOOFi Superchain grant application,woonetwork,Sent,2025-05-15,"20,000","50,000",TVL,OPTIMISM,10%,10.00%,woofi-earn,,No,"• Grant was intended to be distributed only on OP Mainnet, excluding other chains from the TVL calculation.",0xf0a9E1e6c85E99bc29A68eB9D750Dd7389feb886,https://app.charmverse.io/op-grants/woofi-superchain-grant-application-995119729354647
Futarchy Experiment Extra Finance,extra-finance,Sent,2025-04-03,"100,000","100,000",Futarchy Experiment,n/a,,,,,,,0xb04a484387a7242339da615a63d2d49d8968aada,https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678
Futarchy Experiment Gyroscope,gyrostable,Sent,2025-04-17,"100,000","100,000",Futarchy Experiment,n/a,,,,,,,0x777944C74Ed4bbC067E15C72d6B96087B02880BB,https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678
Futarchy Experiment Reservoir,reservoirprotocol,Sent,2025-04-24,"100,000","100,000",Futarchy Experiment,n/a,,,,,,,0x5Ef37773b22673C3680fcf89Fc74Bb78f5124131,https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678
Futarchy Experiment QiDAO,qidao-mai-finance,Sent,2025-04-24,"100,000","100,000",Futarchy Experiment,n/a,,,,,,,0x6FFCD0a428bdE1eCe553E326B9569A15b18bE76c,https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678
Futarchy Experiment Silo,silo-finance,Sent,2025-04-10,"100,000","100,000",Futarchy Experiment,n/a,,,,,,,0x468CD12aa9e9fe4301DB146B0f7037831B52382d,https://gov.optimism.io/t/experimenting-with-futarchy-for-optimism-grant-allocation-decisions/9678
ChainSecurity: Velodrome (Superswaps),velodrome,Sent,2025-05-29,"160,000","160,000",Audits,n/a,,,,,,,0x71708d747C4C44E642fB8a09a11Ab9144383B231,https://app.charmverse.io/op-grants/chainsecurity-velodrome-superswaps-06394677827148398
RiftLend Audit Grant Application,riftlend,Sent,2025-04-17,"60,526","121,052",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/riftlend-audit-grant-application-310084765753345
Kyo Finance Audit Grant Application,kyo-finance,Sent,2025-05-15,"92,806","92,806",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/kyo-finance-audit-grant-application-4968349041657689
ExtraFi XLend Audit Grant Application,extra-finance,Sent,2025-04-17,"44,200","88,400",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/extrafi-xlend-audit-grant-application-9921929368393887
Vfat subsidised audit 2nd batch,vfat-io,Sent,2025-05-22,"87,000","87,000",Audits,n/a,,,,,,,0x1A944C47372f52fFA4FeA738aC0cA5BCf7424C15,https://app.charmverse.io/op-grants/vfat-subsidised-audit-2nd-batch-5250511139194045
Vfat subsidised audit,vfat-io,Sent to locked Multisig,2025-03-28,"82,000","82,000",Audits,n/a,,,,,,,0x1A944C47372f52fFA4FeA738aC0cA5BCf7424C15,https://app.charmverse.io/op-grants/vfat-subsidised-audit-7307707713002884
ZKP2P Audit Grant Application,zkp2p,Sent,2025-04-17,"33,693","67,386",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/zkp2p-audit-grant-application-9097796705116432
ChainSecurity: grant request for Neulock audit,studio-v-tech-neulock-onchain,Sent,2025-05-29,"45,000","45,000",Audits,n/a,,,,,,,0x3850fB86A39d99cd6D4E00343B462EA38B5667b2,https://app.charmverse.io/op-grants/chainsecurity-grant-request-for-neulock-audit-7233129674965515
Untitled Bank Audit Request | Cyfrin,untitled-bank,Sent,2025-04-24,"19,130","43,478",Audits,n/a,,,,,,,0x16779885375D32e7327fAde91f91B5A722bB5Cf4,https://app.charmverse.io/op-grants/untitled-bank-audit-request-cyfrin-921211370820876
Let's ged HAI audit subsidy,hai-on-op,Sent to locked Multisig,2025-03-28,"42,400","42,400",Audits,n/a,,,,,,,0x1A944C47372f52fFA4FeA738aC0cA5BCf7424C15,https://app.charmverse.io/op-grants/let-s-ged-hai-audit-subsidy-516716485414964
Aegis Audit Grant Application,aegis-im,Sent,2025-04-17,"15,229","30,458",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/aegis-audit-grant-application-649517111348275
RiftLend Audit Grant Application,riftlend,Sent to locked Multisig,2025-04-17,"30,263","30,263",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/riftlend-audit-grant-application-310084765753345
Spearbit/Cantina for Gamma Strategies,gammastrategies,Sent to locked Multisig,2025-03-28,"26,530","26,530",Audits,n/a,,,,,,,0xB6B9E9e56AB5a4AF927faa802ac93786352f3af9,https://app.charmverse.io/op-grants/spearbit-cantina-for-gamma-strategies-471631760652129
Kyo Finance Audit Grant Application,kyo-finance,Sent,2025-05-15,"23,202","23,202",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/kyo-finance-audit-grant-application-4968349041657689
ExtraFi XLend Audit Grant Application,extra-finance,Sent to locked Multisig,2025-04-17,"22,100","22,100",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/extrafi-xlend-audit-grant-application-9921929368393887
ZKP2P Audit Grant Application,zkp2p,Sent to locked Multisig,2025-04-17,"16,846","16,846",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/zkp2p-audit-grant-application-9097796705116432
Aegis Audit Grant Application,aegis-im,Sent to locked Multisig,2025-04-17,"7,615","7,615",Audits,n/a,,,,,,,0x5A973117Dd273676bf4D14313b80562DC8973ba9,https://app.charmverse.io/op-grants/aegis-audit-grant-application-649517111348275
Untitled Bank Audit Request | Cyfrin,untitled-bank,Sent to locked Multisig,2025-04-24,"4,348","4,348",Audits,n/a,,,,,,,0x16779885375D32e7327fAde91f91B5A722bB5Cf4,https://app.charmverse.io/op-grants/untitled-bank-audit-request-cyfrin-921211370820876
