name,id,bio,contribution,impact,category,github_links_app,github_repos_oso,github_repos_count,fork_count,star_count,first_commit,last_commit,amount
Filecoin Name Service (DomainFNS),0x2e854caa2ee7c1d255a13d1dd6793804f8cf3bbe8b34ba4514e2248966616730,"Filecoin Name Service (FNS) is a decentralized name service based on FVM.
FNS can be used as IPFS storage account.
FNS domain contract address:
0xb8d7ca6a3253c418e52087693ca688d3257d70d1
Project statistics:
Registration: 110,039
Holdings: 5866","1.We launched FNS - Filecoin Domain Name Service
Which currently ranking first in the FILECOIN ecosystem's DID track. FNS project has passed the Certik security audit. 

2.We empowered FNS (The value and applications of FNS include):
a.Integration of FNS into DePin Web3 cloud wallet, serving as storage accounts for uploading images, videos, documents to #ipfs.
App download link : https://testflight.apple.com/join/zHXOPKc3

b.Integration of FNS into Filecoin's top browser FILSCAN
https://twitter.com/OpenGateNFT/status/1676858015004381186/photo/1

c.Integration of FNS into OKX wallet.
https://twitter.com/OpenGateNFT/status/1679431792363991040/photo/1

d.Launched the FNS Dapp on TP wallet (Just search ""FNS"" on TP wallet)","1.Established the foundational infrastructure for the FVM's Decentralized Identity (DID) track. Users can utilize FNS as their WEB3 identity marker to participate in various WEB3 projects.

2.Introduced new traffic to the FVM ecosystem. 
The FNS project was launched on March 16, 2023, on the third day after the launch of FVM. FNS attracted over 8000 Web3 users to utilize the FVM network, bringing new traffic to the Filecoin ecosystem.

3.FNS domains can be used as storage accounts, facilitating the promotion of IPFS and Filecoin. FNS innovates the usage scenarios of the DID track. FNS can be used as storage accounts. By integrating FNS with IPFS, genuine open-network applications and websites can be created. Users can store and host websites or applications on IPFS, using FNS for decentralized naming, thereby enhancing the advantages of decentralization in websites and applications.

4.Strengthened the deflation mechanism of FIL token.",['END_USER_EXPERIENCE'],['opengatelab/fns'],[],0,0,0,,,"[1, 2, 1, 2, 2, 1, 1]"
Filecoin Orbit Ambassadors,0xcf273ad1694f5a048520eda198b59b250b421ef3649b7153d9196ab9cc13d80d,"The Filecoin Orbit Ambassadors are a group of 150+ volunteers who have hosted 240+ Filecoin meetups, educational workshops, or community hackathons in 40+ countries, introducing a cumulative audience of over 10,000 students and early career engineers to Filecoin, its tooling, and its opportunities. 

This project selected a group of Filecoin Ambassadors who organized events within the time of this RetroPGF's round's scope, and divides the rewards equally between them. 

All Ambassadors are volunteers, although events can be sponsored by the Filecoin Foundation.","For more details, please see the dedicated webpage. The Ambassadors organized the following events:

FIL Cape Town	November 21, 2023
Orbit China: Decentralized Storage Roadshow	January 13, 2024
Orbit China: Decentralised Storage Roadshow Shenzhen	January 19, 2024
Fin de año con Filecoin Orbit y Zondax	December 5, 2023
Filecoin Orbit + Zondax translation party	March 21, 2024
Denver Orbit Ecosystem Showcase	March 1, 2024
Filecoin Playground Event Series 3-7	November 20, 2023 → March 3, 2024","Filecoin Orbit events are one of the primary ongoing introductions to the Filecoin ecosystem for early to mid-career engineers, students, and young professionals, as well as a method of providing ongoing visibility to Filecoin advances across the globe.",['COMMUNITY_EDUCATION'],[],[],0,0,0,,,"[5, 15, 4, 3, 1, 6, 10, 4, 4, 2, 3, 5, 1, 3, 2]"
Filecoin Proofs,0x40bf2a32e5abce2f001fee83bfe271e0e9f73601e27f36ccd369017cc255df02,"Filecoin Proofs are at the heart of the functioning Filecoin blockchain security.  The (block)chain building consists of proven state changes that can be verified by all participating client nodes.  Our team is now known as Elliptic Research, and we continue to provide support for the security of the Filecoin network (e.g. PoRep, PoSt, SnapDeals, etc) and aim to find funding for additional protocol enhancements devised by research and the community.","Our team has contributed the following protocol features between October 2023 - March 2024, in no particular order: BLS aggregate signature verification via the FVM (our contribution includes authoring FIP-0079 as well as the code), SuperSnaps (our contribution includes authoring FIP-0082 as well as the code), Non-Interactive PoRep (our contribution includes reviewing and editing FIP-0090 as well as the code) and integrating SupraSeal C2.  Our authoring and editing contributions demonstrate our team's participation in the collective governance process, which includes remaining core developers in good standing.  Our development work is coordinated with the ecosystem where scheduling live updates on mainnet are often dependent on integration and protocol upgrade timelines.","On the above protocol changes, unfortunately impact cannot clearly be measured since only the SupraSeal C2 changes are currently live on mainnet.  While we have heard that work is being used by many SPs, it's an impossible metric to track accurately since it's an optimization that saves time and SP resources that isn't verifiable on chain.  Not mentioned above, but a protocol change that we are responsible for called Synthetic PoRep has gone live during this time window however, and we can measure the usage by looking on chain.","['RESEARCH_AND_DEVELOPMENT', 'GOVERNANCE']","['filecoin-project/ref-fvm', 'filecoin-project/fips', 'filecoin-project/rust-fil-proofs']","['filecoin-project/fips', 'filecoin-project/ref-fvm', 'filecoin-project/rust-fil-proofs']",3,599,1166,2019-02-19 21:26:38.000000 UTC,2024-05-24 22:36:56.000000 UTC,"[3, 5, 10, 0, 3, 2, 2, 12, 10, 3, 8, 0, 7, 2, 2, 2]"
Filecoin Station,0x2d44c6aa5df5327311e40ec203560b468f44052adc10172bde7e5676f65637b5,"Filecoin Station is a Filecoin-adjacent DePIN network. It acts as a deployment target for network builders in the Filecoin ecosystem looking for spare space, processing power or geo-diversity for their network. Station offers a wide variety of different nodes, from beefy servers to small desktop computers and Raspberry Pis, scattered across the globe.","Filecoin Network Health: The first use cases deployed to Station are all auxiliary networks and protocols for improving and growing the Filecoin Network, with the very first one being the Spark Protocol.

The Spark protocol is sampling retrievals from Filecoin Storage Providers for files stored through the FIL+ LDN program, aiming to measure, improve upon and then maintain a high retrieval success rate for the Filecoin Network. The Station network is the perfect fit for the Spark protocol as it offers a heterogeneous and geo-distributed set of nodes from which to make retrievals, ensuring that Storage Providers are not able to ascertain which clients are creating the sample traffic and which clients are creating the real traffic.

Web3 UX: The UX for new operators has been the top priority of the Station initiative. The UX for getting set up on Station is very straightforward and doesn't require technical chops. Operators often remark on how simple it is to get set up and start earning FIL. Whereas becoming a Storage Provider takes a lot of technical and financial clout and is a very serious undertaking, running a Filecoin Station node can be done by anyone with a computer, and it simply runs in the background. Once onboarded, new Station Operators have taken the first step towards learning and understanding more about the Filecoin Ecosystem.
","Between October 2023 and March 2024, Filecoin Station has onboarded a new group of people to help improve and maintain the Filecoin Network. Station has created/onboarded over 11k new Filecoin accounts to the Filecoin Network and has rewarded these account with over 2.5k FIL. This literally means over 11k new Filecoin network participants now have some FIL assigned to their wallet.

The Spark module running on Station is currently making 22M retrieval requests per day for around 65k new CIDs per day and measuring the Retrieval Success rate of Storage Providers.
",['END_USER_EXPERIENCE'],['filecoin-station'],"['filecoin-station/core', 'filecoin-station/desktop', 'filecoin-station/zinnia']",3,21,97,2022-02-15 15:26:26.000000 UTC,2024-05-27 01:45:23.000000 UTC,"[3, 3, 0, 2, 8, 2, 3, 0, 5, 3, 3]"
Filecoin Upgrade Coordinators,0x48a43552ebdda03f12ef5eb765af41c692ef68892c91cab62bf866588e1c642e,"A lot of work happens behind the scenes to ensure a smooth upgrade for each Filecoin upgrade, especially coordinating across FIP governance, core devs (scope and timeline), implementation development, ecosystem integration, documentation, community, network deployment and more. Filecoin upgrade coordinators act as the cat herders among different network teams and functions and have supported more than ten successful upgrades over the past two years. Filecoin Upgrade Coordinators also maintain Network upgrades forums & announcements like #74; status.filecoin.io and so on.","Coordinate between FIP authors, core devs, implementers, critical ecosystem partners, monitoring teams, infrastructure teams and so on and shipped > 10 successful network upgrades that evolves network protocol, including but not limiting the launch of FVM, hyperdrive and shipping >20 FIPs since mainnet liftoff","Keep the network evolving, safely and smoothly ",['GOVERNANCE'],"['filecoin-project/community', 'filecoin-project/core-devs']","['filecoin-project/community', 'filecoin-project/core-devs']",2,174,501,2019-02-14 20:16:56.000000 UTC,2024-05-20 13:45:43.000000 UTC,"[1, 6, 0, 1, 6, 8, 2, 0, 4, 0, 3, 1]"
FileDrive Labs,0xf1b2b8bbe8d2bd2b786f7325378c8ea219750c0f22bd1c86a3074281c2ab80e3,"Since 2019, FileDrive Labs has been actively exploring blockchain protocols and conducting technical research on distributed storage solutions. Subsequently, the team deeply explored diverse applications of IPFS and joined the Filecoin ecosystem, contributing to the development of several main areas, such as the Filecoin Slingshot competition, FIL+, and Data Onboarding & Retrieval.

FileDrive Labs has also become a member of Filecoin Orbit Community and the Filecoin Plus Global Notary. During this period, FileDrive Labs has also been dedicated to ecological empowerment and promoted the growth of the Filecoin network by publishing ecological articles, holding ecosystem meetups, and actively participating in community events.","As an ecological team that has been deeply involved in the Filecoin network for more than 4 years, while launching products and tools to promote network development, we also continue to participate in the education & outreach of the Filecoin community. Through articles, events, joint governance, and other diversified forms, we actively disseminate and share the latest progress, hot projects, important developments, etc. related to the Filecoin network to countless Web3 and Filecoin participants, builders & enthusiasts and effectively improve the popularity of Filecoin in the global community. ","1.Meetup
- Actively organized a series of FileDrive Online Meetups mainly focused on Filecoin, IPFS, and Web 3.0 technology. The topics discussed cover ecosystem and technical hotspots such as FVM, Filecoin Plus, and Data Onboarding & Retrieval, which effectively gathered active teams and enthusiasts in the Filecoin network to spread the vision of Filecoin.
- 22 events in total, 4 times in the last 6 months, and over 90% of topics around Filecoin

2.Articles
- Actively released articles about the latest developments and news of Filecoin on FileDrive Official WeChat account, which has received a large number of interest and readers and has contributed significantly to the spread of Filecoin's influence in the Mandarin community. Also compiled the Milestones of Filecoin's 3rd Anniversary and published it on several social platforms (both in Mandarin and English), with a cumulative reading volume of over 1,000.
- 150+ articles in total since December, 2020

3.Community
Actively participated in offline Filecoin Meetups such as Orbit China and FIL Singapore to support the expansion of Filecoin in Web 3.0.",['COMMUNITY_EDUCATION'],[],[],0,0,0,,,"[2, 2, 2, 2, 4, 2, 10, 2]"
FileMarket,0xceb238d2abdfe413a919b6aefefed19b605ce604a2580d4d858608f836ffb67b,"Multichain Data Tokenization protocol and platform for perpetual storage and P2P digital goods trading. FileMarket Labs is also developing the FileWallet App and FileWallet API, which will bring a tokenized ""My Documents"" folder directly inside any Crypto Wallet App.","Filemarket contributes to the Filecoin ecosystem by providing a peer-to-peer (P2P) platform for trading digital goods, utilizing Filecoin's infrastructure for secure, transparent, and efficient transactions. This not only facilitates broader adoption and utility of decentralized digital goods trading but also emphasizes the ecosystem's commitment to leveraging blockchain for innovative use cases. Moreover, the FileBunnies EFT collection, standing as the largest cross-marketing campaign within the Filecoin ecosystem, further boosted engagement with the Filecoin Virtual Machine (FVM). Through the EFT collection, FileBunnies showcased Filecoin's capabilities and played a crucial role in attracting a wide range of users, thereby enhancing the ecosystem's appeal and encouraging the exploration of decentralized services on Filecoin.","FileMarket activities attracted thousands of new users to Filecoin and one of our smartcontracts became the one in Top 5 FVM smartcontracts.

1. Increased Adoption: Filemarket’s emphasis on decentralized trading of digital goods highlighted the versatility of the Filecoin ecosystem beyond storage solutions, attracting a broader audience interested in blockchain technology's various applications.

2. Enhanced Engagement: The FileBunnies EFT collection, as a major marketing initiative, significantly increased community engagement. It introduced users to the Filecoin Virtual Machine (FVM) in a fun and interactive way, demonstrating the platform's capabilities and potential for hosting complex decentralized applications (dApps).

3. Demonstration of Technology: By effectively leveraging Filecoin for a high-profile campaign, the success of the FileBunnies EFT collection served as a practical demonstration of Filecoin’s technological capabilities, particularly in supporting innovative projects like EFTs.

4. Community Growth: The buzz and excitement generated by the FileBunnies campaign helped grow the Filecoin community, attracting new users, developers, and enthusiasts drawn to the ecosystem's expanding possibilities.","['END_USER_EXPERIENCE', 'COMMUNITY_EDUCATION']",[],[],0,0,0,,,"[2, 5, 0, 2, 2, 2, 2, 2, 5, 1]"
Fileverse HeartBit SDK ,0xcb28c084834ace413c927980904032c0ef3a2d97338a27323f233e4fac8ff5d6,"HeartBit is an onchain social primitive that gives both users and developers the ability to explore new forms of social interactions and coordination. HeartBit allows people to gift their time onchain, in a provable manner and with CIDs.

HeartBit started as an experiment to leverage IPFS as the connecting web for onchain social interactions. This led to the creation of an open SDK following the success of the HeartBit experiment on Farcaster and EthDenver.","The SDK is simple to use for both web2 and web3 developers, allowing them to add time-based, provable onchain and CID-based Likes & Minting to their dApp, website, onchain media, Frames, and more. For example, we stored a book on IPFS and all people reading it via Frame were minting HeartBits all pointing back to the book. 

The SDK now allows developers to quickly create a smart account-based Farcaster Frame or Lens Open Action which manages UserOps on behalf of people interacting with it (signless and gasless). One aspect that contributed to the success of HeartBit in the past months is that it is compatible with native crypto social media and leverages protocols like Safe and Hats. 

For example, at EthDenver we created a website to combine onchain and offchain experiences for people https://ethdenver.fileverse.io/ . Visitors were able to share the speaker profile of anyone speaking at EthDenver, in one click, as a Frame or Open Action. Every person interacting with the Frame/OpenAction could find IPFS-addressed content and mint HeartBits onchain with a hash pointing the HeartBit back to the actual content on IPFS.
","Over 6k unique holders of HeartBit on Base, minted via IPFS-compatible Frames and Open Actions.
NPM downloads Core: 913
NPM downloads React: 579
",['END_USER_EXPERIENCE'],['fileverse/heartbitsdk'],['fileverse/heartbitsdk'],1,1,2,2024-02-19 08:15:53.000000 UTC,2024-04-03 06:32:27.000000 UTC,"[0, 0, 0, 0, 2, 0, 0]"
filexp,0x9f9552d2541dcc3ba3bcf6d4cc087c519bb345f6441f7fc166f085e71283e2f4,FilExp is Filecoin's first read-enabled light client. It can verifiably query the Filecoin state tree by dynamically pulling only the data it needs.,"Created Filecoin's first read-enabled light client and (as far as the author knows) is the first blockchain light client capable of pulling data leveraging IPFS tooling (as well as pulling from the blockchain's p2p network itself).

In addition to keeping the tooling compatible with latest Filecoin chain, over the last 6 months filexp added support for FEVM and EthRpc as well as the ability to dynamically pull data from either the Filecoin network itself or from IPFS providers storing Filecoin chain data (e.g. Filecoin chain data that has been stored with Filecoin SPs).","While it has users today who benefit from the ability to do verifiable chain queries without a full node, the primary impact has been in demonstrating that the Filecoin protocol has many of the pieces in place to make light clients usable today while also identifying the areas of code, documentation, and infrastructure that would be needed to make Filecoin light clients usable in an even wider variety of use cases.

It has also been a demonstration of how Filecoin can itself enable light clients for other networks by storing and serving light client data with no need for protocol-specific smarts on the Filecoin SPs.",['RESEARCH_AND_DEVELOPMENT'],['aschmahmann/filexp'],['aschmahmann/filexp'],1,1,10,2023-01-17 07:26:06.000000 UTC,2024-05-22 07:50:49.000000 UTC,"[1, 2, 2, 1, 0, 3, 1, 5, 1]"
FILLiquid,0x21126ef11678ce36c9019e3c12fbaa37607d631ac6bfa33ef5519b6d21587b7f,"FILLiquid is a fully open-sourced,decentralized,algorithm-based lending platform that will be implemented on the Filecoin Virtual Machine (FVM) as a liquidity pool. 

One of Filliquid's distinguishing features is its permissionless nature. This allows borrowers, referred to as SPs (Storage Providers), to access $FIL liquidity without the need for traditional crypto or fiat collateral. Instead, they leverage their Beneficiary Address and future $FIL rewards from storage mining as collateral. This unique approach enables SPs to bolster their storage power without incurring additional financial burdens, fostering continuous expansion within the Filecoin ecosystem.

Moreover, Filliquid participants can optimize their earnings by farming $FIG, the platform's governance token. This incentivizes active engagement and contributes to the overall growth and sustainability of the Filliquid ecosystem.

Filliquid will officially launch the mainnet in Q2 2024, and we welcome the Filecoin ecosystem community to join this revolutionary decentralized platform!

During the 2023 ETH Global FVM Space Warp hackathon, FILLiquidity stood out among numerous DeFi projects and was awarded the DeFi Rockets recognition.","FILLiquid is a decentralized Filecoin-based borrowing and lending platform. We contribute to the Filecoin ecosystem, allowing $FIL holders to earn a yield on their holdings through a secure, decentralized, and audited lending infrastructure. At the same time, storage providers can come and use the $FIL previously pledged in their nodes as collateral to secure $FIL loans for the sole purpose of expanding their storage capacity. 

The ecosystem is designed to connect $FIL holders to storage providers, helping the latter experience reduced financial burdens for providing storage on the Filecoin network. 

Currently, storage providers are obligated to pledge $FIL to the network every time they expand storage or onboard new clients. Our contribution ensures that storage providers — one of the most integral components of the Filecoin ecosystem — may obtain $FIL without digging into their pockets for liquid assets by binding their miner nodes to the FILLiquid smart contract to serve as collateral. 

While the loan is outstanding, all future $FIL mining rewards are pledged to the smart contract, and the $FIL in the node is also pledged, providing security for lenders. In the case of a default, the $FIL pledged in the miner node can replenish the defaulted $FIL in the liquidity pool, keeping lenders safe.

The following are the contributions by FILLiquid to build the Filecoin Ecosystem.

Community Discussion
Actively arranged several X-Space Discussions, primarily focusing on FVM and Filecoin. The conversation covered hotspots in the ecosystem and technology, like FVM, which successfully brought together OG, experts, and active teams to promote Filecoin's mission.

https://medium.com/@filfox.io/filfox-filliquid-ama-bedd503e374c
https://x.com/filfox_info/status/1717538981309710746?s=46
https://twitter.com/FILLiquid/status/1760455817893929341
https://www.binance.com/en/live/video?roomId=2182213
https://twitter.com/FILLiquid/status/1762462918698729817

Articles
We actively post articles on the newest developments and news on Filecoin on Medium. (We're top-ranked in the Medium search ""Filecoin"" Keyword.) These posts have drawn much attention and readers and greatly aided in the expansion of Filecoin.

https://medium.com/@FILLiquid/testnet-phase-2-launch-more-fig-airdrops-for-everybody-involved-9e2837d36a4d
https://medium.com/@FILLiquid/phase-2-of-testnet-launches-tomorrow-heres-what-you-need-to-know-283e99445b03
https://medium.com/@FILLiquid/phase-2-launch-coming-next-week-get-ready-for-more-fig-airdrops-before-mainnet-launch-9805053bd815
https://medium.com/@FILLiquid/five-important-reasons-why-ai-will-start-utilizing-filecoin-in-2024-3356ab0ed50e
https://medium.com/@FILLiquid/testnet-launch-first-opportunity-to-try-our-defi-products-6aa7f33e07cb
https://medium.com/coinmonks/is-filecoin-set-for-mass-adoption-in-2024-with-the-rise-of-ai-ac26d9718c92
https://medium.com/@FILLiquid/testnet-tutorial-part-1-getting-your-testnet-wallet-ready-and-loaded-7c92c1d7e27a
https://medium.com/@FILLiquid/testnet-challenge-begins-earn-airdrop-rewards-for-participation-in-testnet-and-bug-bounty-125ca265ce57
https://medium.com/@FILLiquid/overview-67182c49c775
https://medium.com/@FILLiquid/a-sneak-peek-at-our-defi-testnet-ready-to-roll-this-week-e46bfcacdd34
https://medium.com/coinmonks/legendary-investor-arthur-hayes-is-incredibly-positive-about-filecoins-future-as-ai-rises-5fc8a8f23e56
https://medium.com/@FILLiquid/introducing-phase-2-a-final-chance-for-fig-airdrops-before-mainnet-activation-2c97ddeec0ef

PR articles
https://captainaltcoin.com/as-fil-surges-this-filecoin-based-lending-platform-is-gaining-traction-with-ongoing-incentivized-testnet-airdrop-3-days-to-go/

https://captainaltcoin.com/filliquid-airdrop-testnet-enters-final-24-hours-last-chance-for-free-fig-airdrop-in-filecoin-based-lending-platform/

https://captainaltcoin.com/introducing-revenue-sharing-bringing-filliquids-fil-lending-platform-into-the-modern-defi-era/

https://captainaltcoin.com/filliquid-gears-up-for-final-testnet-phase-providing-another-chance-to-participate-in-historic-fig-airdrop/

https://captainaltcoin.com/filliquid-attends-fil-hong-kong-2024-and-unveils-testnet-phase-2-airdrop-with-new-defi-features-in-fil-lending-platform/

https://captainaltcoin.com/filliquid-launches-second-testnet-phase-providing-another-chance-for-a-free-fig-airdrop/

https://captainaltcoin.com/filecoin-surges-99-on-ai-narrative-while-filliquid-announces-final-week-of-free-incentivized-testnet-airdrop/

https://captainaltcoin.com/ai-coins-fet-agix-and-fil-see-spotlight-as-traders-rush-to-filliquid-testnet-final-days-for-free-airdrop/

https://coincodex.com/article/38017/filliquid-testnet-begins-today-and-you-can-earn-airdrop-rewards-for-helping-filecoin-grow/


Community
Actively supported the growth of Filecoin in Web 3.0 by growing the Filliquid community in Discord and Telegram:

https://linktr.ee/FILLiquid","FILLiquid’s impact will help secure the sustainable growth of the Filecoin storage capacity, allowing it to continue competing with the heavyweight centralized storage markets, such as Amazon W3. 

The pledging requirements for Filecoin storage providers present an opportunity cost between using funds for expanding storage hardware or obtaining $FIL to expand storage capacity. 

With AI systems presenting an ever-growing market for decentralized data storage services, Filecoin can be the leading provider as long as it can keep pace with AI models' expansive storage capacity needs.

While the pledging requirements might not burden storage providers at low token prices, the dilemma will become apparent as the $FIL token value rises and aquiring $FIL for pledging becomes more burdensome. 

Our solution allows storage providers to achieve both. They can use their liquid funds to buy hardware to expand their business capacity while using the previously pledged illiquid $FIL in their nodes as collateral to secure more $FIL to add more pledges and expand storage power.

This impact eases the financial burden for storage providers, expands storage power growth, and lets $FIL holders earn a yield. 
Overall, FILLiquid deepens the $FIL liquid available to storage providers, helping Filecoin to experience consistent and sustainable storage power growth over time.

The following is the impact that FILLiquid generated.

Community Discussion
Over 1,000 people tuned in, listened and watched the AMA and Youtube videos.

Articles
Claps 29,988
Views 14579
Reads 7581

Community
Discord >10K
Telegram > 3,427
Twitter > 30.2K","['INFRASTRUCTURE', 'COMMUNITY_EDUCATION']",['fill-lab'],[],0,0,0,,,"[0, 2, 1, 8, 0, 15, 1]"
FILMemes.nft on twitter,0x60711569038e1b1be45503a71f2f3e29be6ada4c3f894a5f24b9f6cc178ec0e9,"Memes around Filecoin, FVM ","Many memes were created about Filecoin, FVM, and its ecosystem projects.","Many new people got to know about Filecoin just because of these memes, leading to increased development in the Filecoin ecosystem.",['COMMUNITY_EDUCATION'],[],[],0,0,0,,,"[0, 1, 0, 0, 2, 1]"
Filscriptions,0xb08d3a0055e122d2d660270b465dc1c2cfd091bf48fa3eca15944731d6df72ed,"Filscriprions is the the first inscription aggregation trading platform on Filecoin.
In addition to supporting Fil-20, it also facilitates the launch and trading of innovative inscription protocols such as runes and Fil-420. The file Inscription is the platform's inaugural inscription project, serving as the governance inscription. A total of 21,000 file inscriptions will be issued, with each inscription containing 1,000 file tokens.

Filscriptions allows us to find FIL20 tokens, balances, transfers, tokens currently being minted, as well as transactions and issuance of FIL20 tokens.
","Filscriptions: Development of the First Aggregated Inscription Trading Platform in the Filecoin Ecosystem, and Open Sourcing of the FIL-20 Protocol

1.Establishment of Inscription Infrastructure in the Filecoin Ecosystem:
Filscriptions has built the foundational infrastructure for inscriptions in the Filecoin ecosystem. Developers within the FVM ecosystem can utilize the FIL-20 protocol to issue inscription projects. Filscriptions platform also supports secondary trading of inscriptions, thereby driving the development of the FVM inscription sector.

2.Launch of Filscriptions' First Inscription Project ""FILE"":
Filscriptions introduced its inaugural inscription project named ""FILE,"" which stands as a leading inscription project within the Filecoin ecosystem. The Filscriptions community has more than 8000 members. By introducing innovative inscription protocols like FIL-20, FILE contributes to the deflationary of Filecoin tokens, thereby introducing a completely new mode to the Filecoin ecosystem.","1.Established the foundational infrastructure for the FVM ecosystem's Filscriptions, adding a fresh segment to the FVM ecosystem and providing underlying technological support and tools for its development.
2.Introduced new traffic to the FVM ecosystem, enhancing the entry points for traffic into the FVM ecosystem.

Total Supply of FILE Inscriptions: 21,000,000
Number of FILE Inscription Addresses: 7171
Number of Transfers of FILE Inscriptions: 26,038",['INFRASTRUCTURE'],[],[],0,0,0,,,"[0, 1, 0, 1, 2, 0, 1, 1]"
Filswan Platform,0x6809bf9d16f69ac274462c66dffca57e95cb1a01f1ff299ac4ac73cee064a81e,"Filswan Platform (Filecoin Deal Auction Engine, Swan-client, and Swan-provider) is a comprehensive platform that integrates filecoin deal sending, deal and storage provider matching, and deal importing. 

Swan-client: Users can conveniently process files (chunking, IPLD formatting) using this tool, generating IPLD-formatted files for easy data storage, thereby simplifying the process of storing data on Filecoin.

Filecoin Deal Auction Engine: The platform automates the matching of data orders with service providers (SPs), sending matched data order information to SPs to accelerate the process of storing user data on the Filecoin network.

Swan-provider: Storage providers (SPs) can automatically accept and import offline deals sent by clients, enabling the automation of offline deal processes.","The Filswan platform is the first offline deal matching market on the Filecoin network. It provides professional client assistance for customers to complete data preprocessing and order submission. 

Additionally, it offers a dedicated Swan Provider client to help a large number of small and medium-sized storage providers (SPs) accept and import data deals. The platform has become an essential data deal trading market and community within the Filecoin ecosystem. Both clients（swan-client and swan-provider） have undergone 20 versions of release.","As a comprehensive platform for the Filecoin network, the Filswan platform has served clients and SPs for a long time. over the past time, much data has been transferred, and more than 300 storage providers have been getting deals from the platform.  Some statistical data can found here:

 - `swan-client` and `swan-provider` have released 20 versions, they are always compatible with the latest Lotus and Boost version. 
 - Active Storage provider: 300+
 - Total Deal Data Sent: 200 PiB+
 - Total Deals Processed: 1,240,720
 - Total CIDs: 824,184
 - Total Files Archived: 722,664","['TOOLING', 'INFRASTRUCTURE']","['filswan/go-swan-provider', 'filswan/go-swan-client']","['filswan/go-swan-client', 'filswan/go-swan-provider']",2,46,54,2021-09-03 17:33:33.000000 UTC,2023-12-10 09:52:23.000000 UTC,"[1, 2, 3, 1, 6, 2, 2, 2, 6, 1]"
FiveToken + venus-wallet,0xb8c5cc1484583c325d25e63719a031aff25bf77e4a502bdd033a3434ce646f71,FiveToken + venus-wallet is the dual wallet solution for both retail and SPs!,"- venus-wallet pioneered remote wallet which allows wallet to be deployed within a secured DMZ instead of being exposed to the public internet as in traditional wallet deployment, adding an extra layer of protection to SP's storage providing operation.
- In addition to security features like locking / unlocking, configurable signing strategy, JWT token authentication and etc, venus-wallet inspired the design of FiveToken Pro wallet.
- FiveToken Pro pioneered use of cheap offline wallet (app) to sign messages generated by another online wallet (app). This design guarantees the security of your private key on the offline device.
- The open source work of FiveToken has long last impact on securing message signing, which the code base was adopted by some of the LSD protocol to allow their users to sign messages till this day.","- Made a profound impact on the way for SPs to securely store private keys for an operating node
- Widely adopted by SP community to securely have control over their nodes
- Impacted user behavior by forcing them into a more secure pattern of signing messages
- Increased overall security of the network
- Open source legacy has been re-purposed by other protocols to serve its user base",['TOOLING'],"['filecoin-project/venus-wallet', 'fivetoken/fivetoken-pro']",['filecoin-project/venus-wallet'],1,16,19,2022-06-10 09:12:53.000000 UTC,2024-04-23 05:10:55.000000 UTC,"[1, 2, 1, 1, 2, 8, 1, 1, 3]"
Forest,0xf092ff4b7235a2fc30d398e434760caed0f0323acb70ad947f04568add91747e,"Forest is a robust full node implementation of the Filecoin protocol, crafted with safety-first in Rust 🦀.

Forest is currently operating on Mainnet, Calibnet, and Butterflynet. We have successfully participated in the last three mainnet network upgrades without issue, as well as the upcoming NV22 on Calibnet. Performance and stability are good, however we continue to optimize and improve many components.

Overall the performance of Forest is a significant advantage over other implementations, requiring only a 4-core CPU and 16GB of RAM to perform even the most resource intensive operations. 

Snapshot generation and archival data export capabilities are two examples of Forest’s emerging potential. Through various optimizations, primarily on the storage layer (learn more:https://youtu.be/9PZbsF0ah64?si=6-wItLWXJXB7g_9g), Forest can generate snapshots on modest hardware and in less than half the time compared to Lotus. Similarly, exports of archival chain data have similar performance advantages and are half the size on disk with a slower growth rate over time.

Forest's snapshot and archival data export capabilities are actively being demonstrated through the Forest Snapshot & Archival Data service(https://forest.chainsafe.io/#snapshot-service). The service leverages Forest's significant performance benefits to generate snapshots and export archival data, which are made available for the community free of charge. This service is now the canonical source for snapshots for the entire network.

The RPC interface is a work in progress and will be a core focus for the coming months. Presently only a limited set of methods are implemented, largely due to the absence of a specification. The status of the RPC interface can be tracked in this project: https://github.com/orgs/ChainSafe/projects/29/. More information on the upcoming roadmap can be found here: https://github.com/ChainSafe/forest/discussions/4220","- Established client diversity
- Enabled more lightweight node operations (can run on consumer-grade hardware!)
- Reduced resources needed to export snapshots or archival data
- Collaborated with other implementation teams to implement and test network upgrades across clients
- Enabled diversity for bootnodes client types
- Maintenance of FVM actors
- Participation in technical governance
- Growing Filecoin Rust ecosystem","- Improved the resiliency of the Filecoin networks on multiple layers
- Increased success rate of network upgrades
- Reduced operating costs for node operators and lowered the barrier of entry
- Prevented multiple incidents and contributed to identifying several bugs through a combination of technical exploration and insistence of good software development practices in the community
- Opened the door for Rust programmers to contribute to the ecosystem",['RESEARCH_AND_DEVELOPMENT'],['chainsafe/forest'],['chainsafe/forest'],1,144,602,2020-06-24 15:30:04.000000 UTC,2024-05-23 11:13:11.000000 UTC,"[2, 0, 0, 1, 6, 1, 10, 0, 2, 5]"
