General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,General Info,Transaction Count,Transaction Count,Transaction Count,Transaction Count,Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Transaction Count (forecasted),Active Users,Active Users,Active Users,Active Users,Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Active Users (forecasted),Unique Users,Unique Users,Unique Users,Unique Users,Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Unique Users (forecasted),Total Transferred,Total Transferred,Total Transferred,Total Transferred,Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Total Transferred (forecasted),Net Transferred,Net Transferred,Net Transferred,Net Transferred,Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),Net Transferred (forecasted),TVL,TVL,TVL,TVL,TVL (forecasted),TVL (forecasted),TVL (forecasted),TVL (forecasted),Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users,Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),Retained Daily Active Users (forecasted),DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA,DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),DAA/MAA (forecasted),Gas Fees,Gas Fees,Gas Fees,Gas Fees,Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted),Gas Fees (forecasted)
OP - Besu/Hildr,Grants Season 6,Cycle 26,Team non responsive,137362,False,2024-09-01 00:00:00,137362,2024-06-06 - 2025-02-11,-0.1512,0.1683,0.8666663156330239,0.8667,2.1569,-1.5978,0.1120141950963136,0.1120,0.5915,-0.5817,0.5613242925146473,0.5613,3.1546,-1.8868,0.06095382450139408,0.0610,-0.4695,0.456,0.6487794271017155,0.6488,-0.0769,0.0832,0.9337922260838862,0.9338,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9602,1.1291,0.2619900831750277,0.2620,-1.0165,-6.6741,3.658042757592739e-10,3.66e-10
Yield Bearing asset utility with Compound,Grants Season 6,Cycle 27,Sent,180000,False,2024-09-01 00:00:00,180000,2024-06-14 - 2025-02-11,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,-0.1329,0.2447,0.8069018787549409,0.8069,14.0095,-2.8714,0.004629812786507204,0.0046,-0.2352,6.6498,2.773390406218823e-10,2.77e-10,2.4716,-16.0548,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Beefy - mooBIFI,Grants Season 6,Cycle 27,Sent,70000,False,2024-09-01 00:00:00,70000,2024-06-01 - 2025-02-11,0.3557,-0.8823,0.3784511707310232,0.3785,1.2457,-2.3379,0.020603332804936203,0.0206,-0.0409,0.1466,0.8835844596385627,0.8836,0.5645,-2.1251,0.03506375188272237,0.0351,-1.0,2.3664,0.020081198602742045,0.0201,-1.0,11.5386,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,-0.252,6.4411,1.1782943509786037e-09,1.18e-09,0.0549,-0.7335,0.4637891494437487,0.4638,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.6396,-0.9144,0.3614173582450264,0.3614,0.5795,-1.0133,0.31239085409023315,0.3124
Enable High-Frequency Execution Across the Superchain,Grants Season 6,Cycle 27,Passed,2500,False,2024-09-01 00:00:00,2500,2024-08-05 - 2025-02-11,-0.9768,1.9098,0.06725043819742438,0.0673,-0.8642,15.632,0.0,0.00e+00,-0.848,4.0794,0.00033429305310184176,0.0003,-0.8099,14.1876,0.0,0.00e+00,-1.0,1.0,0.3265270222606158,0.3265,-1.0,17.421,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9565,0.976,0.3380627875926512,0.3381,-0.939,14.9775,0.0,0.00e+00
Swan Superchain Application,Grants Season 6,Cycle 27,Sent,250000,True,2024-12-09 00:00:00,0,2024-10-05 - 2025-02-10,-0.8026,9.0021,3.1086244689504383e-15,3.11e-15,-0.7125,7.8463,1.4170886686315498e-11,1.42e-11,-0.8156,9.8829,0.0,0.00e+00,-0.7496,9.2597,9.992007221626409e-15,9.99e-15,0.0191,-0.0279,0.9777989580300648,0.9778,8.118,-1.7957,0.07758177564686264,0.0776,-0.3342,1.7781,0.07783771188178013,0.0778,0.2105,-0.7592,0.45054024984327734,0.4505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.6783,15.3939,0.0,0.00e+00,-0.6282,11.3006,0.0,0.00e+00,-0.8099,10.9301,0.0,0.00e+00,-0.8188,15.7326,0.0,0.00e+00,-0.7838,6.3785,5.779870582145463e-09,5.78e-09,-0.6756,6.2255,9.4255960814138e-09,9.43e-09
Cyber,Grants Season 6,Cycle 27,Passed,375000,True,2024-10-01 00:00:00,0,2024-06-02 - 2025-02-10,-0.6851,10.911,0.0,0.00e+00,-0.5552,17.8761,0.0,0.00e+00,-0.687,10.3403,0.0,0.00e+00,-0.5425,15.969,0.0,0.00e+00,-0.7763,6.7558,4.997009472873515e-10,5.00e-10,-0.5105,12.6736,0.0,0.00e+00,-0.4649,2.5985,0.01008304491884826,0.0101,0.0827,-0.4516,0.652260346249613,0.6523,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0956,2.0693,0.039546099132280244,0.0395,-0.0597,1.4376,0.15177083626400822,0.1518,-0.1092,1.4851,0.13907499519904754,0.1391,-0.0834,1.813,0.07131599861161275,0.0713,-0.6168,6.3517,1.3813039601018318e-09,1.38e-09,-0.614,10.9424,0.0,0.00e+00
Mode,Grants Season 6,Cycle 27,Sent,900000,False,2024-09-01 00:00:00,900000,2024-06-02 - 2025-02-10,-0.5574,12.3614,0.0,0.00e+00,-0.3656,10.3252,0.0,0.00e+00,-0.6183,14.0735,0.0,0.00e+00,-0.43,13.3166,0.0,0.00e+00,-0.608,8.3886,2.289279876777073e-13,2.29e-13,-0.3226,7.9088,8.548717289613705e-14,8.55e-14,-0.2888,2.5933,0.010068401409234928,0.0101,-0.1989,2.5751,0.010756444227387085,0.0108,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5267,15.8726,0.0,0.00e+00,-0.4532,20.0272,0.0,0.00e+00,-0.386,9.3838,0.0,0.00e+00,-0.1584,3.9821,8.994016820618178e-05,8.99e-05,-0.6139,2.6649,0.009077288222623547,0.0091,-0.4763,10.4703,0.0,0.00e+00
Lisk - Intent 3B Grant Application,Grants Season 6,Cycle 27,Sent,500000,False,2024-09-01 00:00:00,500000,2024-06-02 - 2025-02-10,467.9552,-11.4369,0.0,0.00e+00,578.472,-11.4416,0.0,0.00e+00,261.3085,-9.6194,0.0,0.00e+00,281.5507,-9.6221,0.0,0.00e+00,54.2239,-8.8892,1.3322676295501878e-15,1.33e-15,84.7312,-8.9518,8.881784197001252e-16,8.88e-16,66.327,-11.0126,0.0,0.00e+00,334.5166,-11.1538,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5697,-9.3489,0.0,0.00e+00,0.6098,-10.5744,0.0,0.00e+00,1.4012,-7.2609,8.782308213994838e-12,8.78e-12,1.4263,-7.744,1.0060841049153169e-12,1.01e-12,608.7319,-7.7361,1.1364242880063102e-12,1.14e-12,586.4039,-7.7356,1.1395329124752607e-12,1.14e-12
DelegateMatch: Governance incentives for a delegation Farcaster frame.,Grants Season 6,Cycle 28,Sent,2500,True,2024-09-14 00:00:00,0,2024-08-25 - 2025-02-11,-0.8675,0.86,0.4001281697149024,0.4001,-0.0898,0.0978,0.92221580446349,0.9222,-0.8675,0.86,0.4001281697149024,0.4001,-0.2548,0.3394,0.7347768308398832,0.7348,-0.9338,0.9317,0.3630627150232355,0.3631,-0.9206,10.787,0.0,0.00e+00,-0.7477,0.725,0.47627656557513376,0.4763,27524818169154.156,-1.0,0.31892095448044433,0.3189,-0.5774,0.4972,0.6222205341376246,0.6222,-0.2151,0.1961,0.8447994384417883,0.8448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.3118,-0.7482,0.4554071407322624,0.4554,-1.0022,-3.4386,0.0007582906098846376,0.0008
Scout Game: onchain gamified talent referral platform,Grants Season 6,Cycle 28,Sent,20000,False,2024-11-29 00:00:00,19999,2024-10-18 - 2025-02-11,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,-0.16,0.1938,0.8466646230181407,0.8467,0.0186,-0.032,0.9745253796305637,0.9745,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,,-1.0,0.3205693108560599,0.3206,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-1.0,0.32056931085605966,0.3206,,-1.0,0.32056931085605966,0.3206
OETH on OP 4,Grants Season 6,Cycle 28,Passed,29978,False,2024-09-01 00:00:00,29978,2024-03-20 - 2025-02-10,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,,,,nan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0508,1.222,0.22317152181018685,0.2232,3.118,-17.4556,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,nan,,,,nan
Contango ,Grants Season 6,Cycle 28,Passed,100000,False,2024-09-01 00:00:00,100000,2024-06-01 - 2025-02-11,-0.8753,2.391,0.01863194596883,0.0186,-0.7224,3.6528,0.00034523186326307354,0.0003,-0.8598,2.4302,0.016758883477910214,0.0168,-0.7574,4.2829,2.956022855715723e-05,2.96e-05,-1.0,1.422,0.15843066782274673,0.1584,-1.0,35.4281,0.0,0.00e+00,,,,nan,,,,nan,,,,nan,,,,nan,0.2224,-2.9944,0.0031064257888184788,0.0031,140.1008,-17.1652,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.9727,1.6771,0.09694722856275306,0.0969,-1.0356,-4.1951,4.412095502659419e-05,4.41e-05
Velodrome Finance,Grants Season 6,Cycle 28,Sent,200000,False,2024-09-01 00:00:00,200000,2024-06-05 - 2025-02-11,-0.619,2.2558,0.025786059946649065,0.0258,0.0794,-0.236,0.8137283989547088,0.8137,-0.5344,1.989,0.04779383676846005,0.0478,0.1113,-0.3212,0.7484982010995025,0.7485,-1.0,1.7523,0.08324391013942867,0.0832,-1.0,6.7431,2.5979152162847186e-10,2.60e-10,,,,nan,,,,nan,,,,nan,,,,nan,-0.3001,10.0948,0.0,0.00e+00,160.8726,-31.2808,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.6883,1.1257,0.2629602380413847,0.2630,-0.6853,4.0752,6.870801572311791e-05,6.87e-05
Uniswap: YBA Grant,Grants Season 6,Cycle 28,Sent,180000,False,2024-09-01 00:00:00,180000,2024-06-01 - 2025-02-11,0.3788,-2.369,0.018583172057894615,0.0186,0.4138,-3.8712,0.00015155841816261173,0.0002,0.2084,-1.538,0.1253006809006556,0.1253,0.7787,-6.6764,3.14430925740794e-10,3.14e-10,-0.0312,0.2351,0.8143340970501245,0.8143,0.301,-2.9914,0.003166317486918535,0.0032,,,,nan,,,,nan,0.9871,-7.0509,1.676547789486449e-11,1.68e-11,1.5316,-13.1216,0.0,0.00e+00,-0.1648,5.5226,8.252989003310063e-08,8.25e-08,0.5079,-9.4624,0.0,0.00e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.4521,1.5515,0.12202754895818568,0.1220,-0.4403,2.4443,0.015545218911749759,0.0155
Uniswap: LRT Grant,Grants Season 6,Cycle 28,Sent,120000,False,2024-09-01 00:00:00,120000,2024-06-01 - 2025-02-11,0.3788,-2.369,0.018583172057894615,0.0186,1.0951,-6.9941,5.720290907618164e-11,5.72e-11,0.2084,-1.538,0.1253006809006556,0.1253,0.7437,-6.4829,8.693570308082599e-10,8.69e-10,-0.0312,0.2351,0.8143340970501245,0.8143,0.3243,-3.1544,0.0018813448756744844,0.0019,,,,nan,,,,nan,0.9871,-7.0509,1.676547789486449e-11,1.68e-11,1.5231,-13.1088,0.0,0.00e+00,-0.1648,5.5226,8.252989003310063e-08,8.25e-08,0.3655,-7.4044,1.1406431354998858e-12,1.14e-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.4521,1.5515,0.12202754895818568,0.1220,-0.4798,2.8621,0.00474071962265965,0.0047
