,allocation
0x539cf7777f9ca3ec7a4ed2983c3248c36f3691cb004eddce3e0d377d0ef73375,64204.75502376318
0x04a8347c86ecfa6b59178bda3fa362bcc99ac0ea72e02adc5ae9f5473bf5c4d9,63940.24412420626
0x22d80553251f35d678dc6c4b9e5b6e25253500516ac025adfc63ee7b7c0d827d,63731.30583699321
0x739a283d5aa5e54960aabae8ce6cfd8287473247776122b4d4036fe1cc62019d,63330.623250375145
0x879316e11edcc53ed462d391d737aa13c71af8b5ba53be4f1b0dd908cedccaa0,63026.44641006776
0x5585a0b333fc67fd53724ed268441047f17afc7d25b4b60d1f26122f358af0ae,61097.9778701178
0xc1fa8085292c9b10d543a6a92f506eec31159741c40ca592433abd460d137e73,59953.04234825003
0x9c593bb8da443010172b564175cfaf57da19a5b2586fbee505487e927f5d7052,59427.16169147413
0xcc7372e187269f001cfc274c5e48ccf8118d0e1b28cef11f1a1108cf7a8dbf13,59134.49210511628
0x1b8ce4a614babb28b88f58b9d84d658565fa4ef4132e2a0edce979cc88e11555,58580.88749200296
0xe83212d616bf792c68b0235ae6d23e507d6408fbf76890f75c741affdc37013c,58145.694693116544
0x8b3bd12e24100ad48f4c73461305eacb12882d27f1fd7b166e79882ec413689b,58027.79142392207
0xc1524c79dbba7b1cddfe16819328f36d022dded67032f5681ab422605c3a9715,57798.47843227748
0x28f35448643982186de0449e9a7f47b94ee2f93a8de7069a8f91fb94e21bfd2c,57774.28219916361
0x82ef80ecf81b0bab897fe9ab595544db44b14708993f91c5f5f457f869d2af1d,56881.07739191624
0xc46c0ad78b304a03237cbc59ddca40b5d94b9a50af3aada085f860a137bb4fe6,56588.38436356022
0xa958c93582454042b966df568c686264553dedd4262f890f98e1443123277eae,56572.226253595145
0xee00e0894f37d1654e674cfcba09ac32004ea0a33178040f71a90be75659cdcd,56485.204560468446
0xc0dac906167f299014aeb6ad6d31d5194c2c73c7fe73405b5b9bef7d172a1487,56007.24117072718
0xcdebeb77a8d4ebbf16aff97d72dcea3d080ae73e7848d858c2f051eb2d2aed2c,55948.741104805114
0x29e10fc68e78b9b22e5c088a87a2779f918c5c47fff3ccf58dcb02aea267e329,55079.93218945365
0x6160506f66ca4ec80e45af7572da31ecbb015a906726dffe58504c1af8ec2d73,54772.30715210049
0x00a4cee5f0f74e92b03b87fd619b37c9bb7ae054738c0143ef83346464046a75,54623.95201215728
0x55ad380034426b1c0929eb2ab5ab9b738216dd4a144b7bbeb0447c7cea59e751,54560.804792406736
0x22f73e22bad76ba7408246f4832de1d07b32b1888d3a35e92b41ee8da0bed062,54096.27314780304
0x73a3fdd603c160c48bb61dfdfd6c93f6d8ad3420e70ebad62de7328e0a6e224c,53846.41355423647
0x06a1488e3edde4ee3b05811fbe634551f35918c60fe6c92e388d06550495cd84,53758.24981671219
0x6c97a1517ef2f72228131c288c1a9256c7e4d47bba01d069b16df2f7ca81bd85,53685.050812227266
0xa890fad98dd1b5179eef8c2d3a4ac52a51327d1ef51f826d5f583e725880af89,53467.01969744545
0xeea3ac27cfb72ca5fb0fa738fa2d93cf28c0bc936fd474aa6dfd84d281e33acd,53035.627489230654
0x383672f18d21daf99befe6f41d201f357f70f1883daba5260ac992413edd1ba2,53000.83615477043
0x50e5fcbd9bfee302b4af794166b057985df04df44f2df63b43a44b361c1b9474,52771.05181034137
0x0f17a6a663ec4fde1eb776f80ee80b9fe415e2f11472b7e9582885bfa4fecac6,52163.26083615011
0x0af93b34c4c047485dca950b6a1f063727ea08ea6363988322a45240cba1562a,52098.192590201936
0xf76a71fa1d734d49095648fb8c12c0e3c5734d3ae0c6cd489f72e92a673b37ed,52076.70068605377
0x9aec0ecc083b4a39c75e334c4a68046ac2e2b209e08e390182e44b506077cc59,51876.98967501164
0xda2e782872ee0cf3a9a94158f8527ca85b1b4dc19e5a1a7dc53e7552a098df65,51762.58818697897
0x256d0d94da588543e4d159af8149d042f3d8f8cc03613bfe9b7dfcdff6f30950,51266.59152243388
0xb7599398abc3c25cd4564477d85184306982ab595b6b5dc09458e0c449036c41,50833.37065910453
0xb8af0224fd6e6880cf61b7919724582d60da30d742c7dfae9ed073e62295ff9b,50731.5735970714
0x210e805889bc45966ef7381f68819132404ee27f598c4193d9aa55ce13efdbf8,50468.3603569158
0x0ddc87eb81e7b8da064d7bd4b34d2aef41cb2b196dad5bbdf2e56c1c0aec2dab,50285.776724887204
0x44d86a248df1cfb4fa6aa1ffe30c391192ab43e77662af2d9dd6878796739a04,50259.42306236894
0x618aa6fb6f1df22d97df579d3b4db8f866ce3ac4154a619120464d223cc390dc,49843.57355653794
0x620bda9a2e3c3e849fedd4cc80eaea99a53e4d3e50a217bd20e1fbe678fd6128,49751.53943196596
0xdda0798a5eb762366cd5aa5de87f042567946b47f5cf1d776077a2b00d75c575,49681.10856173333
0x1eb235ab9f68ef85535d538ee652c00ef5dfaa4d6271b4a8ad3c3bf2ba2ec069,49386.939040689336
0x4176bd17655c79257d454d781a811f547c350196b4cc4e7b5331a309ac30e1df,49109.62256043473
0x7a961a94239bf5be5d066881e36c769ee6e1102242bdf0f4c19a849a9d738ebe,48843.932936268735
0x2f6cbef6708256634282c33f3a51305d3e2b83bf811c19690a28d4b2c2e9d303,48231.49244677711
0x2f6e0f7fe7d657d7558899e1a8e7670dc817e4c64bde86f473cefa1b1403db92,47351.02046986303
0xd7f9140cd24d5332f81c9a12d5d7da80f0c61f69db015073727064f0b975c875,47187.26585112726
0x3ed89df6e9021e19412a045975e9d9d60f913f1bff2aafc3b75b561a316fb8a9,47141.26691629714
0x2a0c1b008cd1cf522469233bc806fe2d8d3a84024f58664477cd9d7f235b8146,47096.44710759514
0xf615a763fa6599d40e52ee2e15ec77f208324c5863a157cdeb243639936476e8,47059.508178734686
0x520001318733a87a5892254ff38ef5b34d1101b5764e29fdc962c4de348a3215,47011.08323616126
0xb98431b7ca0a1b61367b100839ac47f4f8529104124141afee00fb1eb0909d29,46897.515439233524
0xc35c7e857f2c5e5462e81b9d9a08a3898a85d5286b8dde0421a44751e7f072e2,45981.48725444288
0xd345713159a30fc657c3ddb5661f69309915b7acd304bb3200f09bd5e258febe,45953.83884285759
0x0971d7b1728a90ecbcfb72b7c12a27dabcab6c4279accb68dff6e3268039a26d,45479.533059835805
0xbdc75c7f2d9d4f797174656b47ef920cc968b82a1235efec4a37816fc8077ef9,45438.35792557503
0x2fc7eb20b6c544cb7dd32ad1033e0eca2d56fdbb1565af181362a1f34cfae475,44669.234196835874
0x762c363ac739a057eb4d414fd17916a2b098a00c7ddeae32d021f6df572561e1,42813.549590108596
0x6621d15bdec0eb8a9007f6a0cb83ca672860b7c6ed80faf817659c090009ed50,42757.14769365161
0x0350c7aeeb04a0f7d5c889159b85cf06f562ab403d3dc8e792689e1a0dc18eb8,41569.08749982138
0xe07d57e306683c8da55db7e36be5e80b7167f140d7c967f6a888861ed0109b12,41138.738621543256
0x35d707d93c0ad28953c4254bd3888ae0be2ed1693dcf8fd28ac82b359cef2554,40557.93211640772
0x8e2e74a7ee11d1b34278912d4457fbadd0da7b5cc650616a2ba79cb7968909a9,40348.473617097894
0x56cb9a566631cf918d682a40877cb4ffe7dfc4d3cbec30f5cc9a1a71c8083618,39451.89805542441
0x7abf5bc490dfc2b9b6507be81e85409c45ed8b1c4c5fcb34e1975d815742bf9c,37640.89460330469
0x40a862a9e7faff61ea712ca35128dbf5062dcb597a8005edfc7cb4c764b50d3e,37447.37614392569
0x4e45cf5a759597473b87c3032fed4e140023645bc4659eed4bfe59d1990e1727,37382.34224790769
0xe950477ad2f79bdbf93133a3b7d0984f25b4fbea78c103de8c09e767d84a7191,36902.59748739606
0xdc268cb6ac74238769f4b9f0b07e3f108fae3c40fe251d5c18efed935eb96b0c,36727.012314711654
0x468cadd4109849a20903110bd6d3db97555cc811e981a4d12df3cc2cd1387f8a,34393.903922533245
0xb3cd16830a3a4cbeb390c0f2ad66c8155a90d0bd22279e3dc306a27c27e2411c,34191.375689907145
0x73deb2a75792f7c688dc87a3080ce18637b7d241ad2b551272fb21aee72d6bf7,31805.018029986342
