project_id,application_id,project_name,category_id
0x518706ed6e45ba99aaf9fe6ed3d647373cd67b8632492e59c294b835758c2194,8c865cc8-be94-488c-9d8c-f262f6e52991,quic-go,1
0x2704cd27b8c60b098d4fe8c5c0fbae2f8f5fe9067c687c501a4c6dc6e9887876,44d67f72-8a9a-42a7-bbda-8a285b76b28b,Act,1
0x6e250ff96f9c00b664d519d20531150df875dff20efcd37de2738f8b3286e7f6,dd332698-cac4-4649-9512-ca1e120f82d1,RaaS and Restaking for OP Stack rollups,3
0x15888c525d6efc5ca1d66714644aace3d2e8598cecd7e37be1e6fd57fd958c07,9596d323-17be-436e-9dc6-81b69fea169c,Ethereum on ARM,1
0xfef0eaf3c745a7175550a75ecfc0056d0a3276eeb0ce8fbc45dd7254411985ec,83ee7a4f-7de2-4265-8fcc-e322d755d678,Smoo.th Cryptolib,1
0xe346264e87202b47f1057eb0b0fcaa0ea7f83e14507ca4585a91a5d94e0e92c0,f84b1f45-0dd4-4b41-a9e7-a55857cccae5,Nimbus,1
0x28a8b14613c3a5790b2d0c7b7d32384ecd187b3b86fc66ba9d9244944d20b422,e210c931-00d8-4eb4-b7c2-f481c7b087e5,Sherlock,2
0xa88844cea135382e3484e39c3172033437121b35ca0bc8b10b9b8253984876b5,8f1d0175-4eaf-4bd0-9438-a776d8e1d8c1,Ethereum Attestation Service (EAS),2
0x3a103436d12a3d54ade1a44f87ce255417fd530b6ec55abd3bea1898b32c61c1,44cefdfb-c91d-440d-8128-f02ba7426865,roll-op,3
0x7e4eb6294ad8e97eceb3bb6a39891eb386bfbaa5d4e8f16a9939d18ad79d789c,01577a0e-416a-4fbb-82d7-5dfbe3cabe25,Blocknative Blob Archive and Research,1
0x7d3f1d8e9da32b6e81e791a440b28ce9fbd79a5396acc4039d1cdc44c609c6d3,fd48aadb-9ed6-4d5d-b82c-8d2c35d484ee,OP STACK DEPLOYER,3
0x7333cac46b20999de07f4d7be5146c10a30f19586907bd2ce986b81af340cb97,7e3ad315-cf98-488a-b7a0-4910d5cf873a,hildr,2
0x7ada1f0835c4c195d0dd8d9761b80f87dab88d21891b2a2e83220720560af7c1,82c49ee5-985f-48f2-8a28-c4cd8db34105,Ethereum POS Testnet,1
0xdbc21abd2657c839060753eada61f93a6d835a0a2f3bdfb530339a2c85f23516,164a3304-d440-4103-99c7-30cf85e8fe8f,Research and development on multi-section fault dispute game,2
0x36dd18c9e9a4bba1acfd94263e1d53c69a24376bf7129e38d60c83ef461e6ab5,a906875a-ba8b-46a1-b4a8-3a1c04cbe47e,1-Click Price Oracle,2
0xbea008dac0a4a2d2cc88ed14468f7ce06b1a13d43ead38f31df3ca5f6d70d12e,55863ba8-b73e-41c5-960a-2777010865c9,blob-archiver-rs,2
0x5a7e7c7acb21521e99021d746740b368801cbfe531301e50bdbaafdc24a0aac5,d3ecb932-8bbe-4a7c-b8ab-946334cc54fb,js-libp2p,1
0xdd8b2e68cad9afa0701c8f27bf085302b152dbca3393083d3c664e3fc75945ab,bc61b7a6-70c3-43b8-a5e8-98e160cc1973,Redprint,3
0x1874030dc79203f106c67f2b1f6a2b600c4efe9a2c1523ae1bce46140368ad04,bf03d123-b25b-46c9-82d9-7cd396f9b8ed,The book of optimism fault proof,3
0xcd9dfcace81ae28b29b10c4ddf36bcb8db6d705cbb92e7d885e5b946a9f77910,efdc84ff-ad99-441f-a825-d42d06bed649,Nethermind Ethereum Execution Client,1
0x60f8ab8d1ae00182f9afaf6ec35213a200ed8ac21d39b24a9794f2ba21f6aa59,716e98fc-2ed1-4b90-8fce-f47acb94d922,Delta Network Upgrade,2
0x7504e494cb8d227193182e083128912173c14eaeecec9b90fa453de28377b269,349407fa-9504-4b8e-9a44-ffdf520a2001,Hermes - a GossipSub listener and tracer for libp2p-based networks.,1
0xf00518dc6abc147a7c46675cb76946afdd16868d7d4ab4689df0c48467158c26,ea0191c1-eeec-431d-a4a0-7d033708c1e5,Deployment of the Shutterized Optimism (SHOP) testnet with the SHOP SDK.,2
0xc998478cdd600933c5e5723be6ab1db19d445d6ac53cf28fe8927f050a8b1faf,38ec7de7-13f4-4202-8b69-3a3965197e71,Rust KZG,1
0x0be3a0fa062180bdfbfdefa993b09acd9edcae93ba0d8d5829dd01c138268f40,709f2b74-fd6e-4ad3-bb75-71b44fc34367,jvm-libp2p,1
0xbb3291f2e0a56c4f8fe8250613c5487e4447fce05bb75854472fe3e01eebaffa,10130c2b-c41c-45cf-8fb2-1aa199817d1c,Besu,1
0xf839a585342327848d4541a6fcc315404e879537a60a1370f2cd45a94283a1ba,d6f252a5-69bc-4c50-9570-9462cf98e194,Dappnode,1
0x3787feef9d17b0d7db30c90fb419f1e8b0587a60bc3031fd9452b1ef1ab77680,87375f80-344f-44d8-895d-b9029357b2ee,Feasibility study for Front-running protection via shielded mempool for the OP Stack using threshold encryption,2
0xc9561ba3e4eca5483b40f8b1a254a73c91fefe4f8aee32dc20c0d96dcf33fe80,7cd5214b-1d0a-4ac2-a1ff-ac0e5869a9a1,nim-libp2p,1
0x8431c44e2f0903879f34134e68fba4c05833b02451ccbf4cdb69620a6715bcdd,51097619-fa99-4e08-b774-b4ce852505bd,Sedge ,3
0xc1899658402b1373d1beb84e069a3eca066aaf01c0654502dbba51b66aeb6214,0c257bf5-d3a1-40f7-b28a-261f77522d0c,Grandine,1
0xda38e275285330082433713e32b03c7ccd482bfca5e52719766f16555e05f699,f0c639c0-a761-4f0d-b652-8967b182b865,Kurtosis optimism package,3
0xc71faa1bcb4ceb785816c3f22823377e9e5e7c48649badd9f0a0ce491f20d4b3,87f05139-80ff-4335-ac20-7935e435213d,go-libp2p,1
0x1cdc515cbaa37d126f91ca367bc7b3b2126562a2fd1a10a8ad8b1b1d9bc06a69,ea327f03-fe0b-4ad7-a482-fc3f9a8079ac,Immunefi Bug Bounty Platform,2
0x541b7b08401d799b87f583c102a6c94cee7105f1b29dc630de5edbbd966d7c13,dcec8ff2-6c8f-4912-9221-0dd084e67367,Fe Language,1
0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c,4eee1576-c6aa-42c5-ae48-73d72bbbd82c,Rust Libp2p,1
0x6830f24e2e893931d62d8118146a7bbffb5cd1f78945318865a52bd6a6cbe245,cb21abb9-47c4-4a3d-b770-8fbb504cfd8e,ethereumjs-monorepo,1
0x8ec88058175ef4c1c9b1f26910c4d4f2cfa733d6fcd1dbd9385476a313d9e12d,f56d6b00-71ad-4023-ad5a-ab60d010753c,Lodestar,1
0x641dc2c289127d1964bd9882f3d4c536395635b846297a4f62cb887fe7c3a119,158d6dd9-326c-41e8-9a99-f78db7b6766d,An indepedent ethereum execution client contributor,1
0xff3bed7d64f6f616e89032f8661f61259bc0b416ff39e1c8584ae8b34c48dbaa,103819d5-61d6-4797-b363-cde63d15d203,OP Erigon,2
0x09b95c7697625da4915338750c5f78446817a3634cb38bc9155e26bbbc0c87f1,e4547438-eadd-43af-bc57-9f093c0f8072,Maintaining simple-optimism-node,3
0x326b198b5e8fafe18aa163b5a6e3e1c2a5d539eb0006245b40ba4dbc927f7953,430f6113-28fa-4420-84f1-7b930af7b4b3,RIG Ethereum Core Research,1
0x9ca1f7b0e0d10d3bd2619e51a54f2e4175e029c87a2944cf1ebc89164ba77ea0,22b0cb07-4fd1-48e9-800c-3114e6d41d7c,Vyper,1
0x1ea2fc7183a8ad244a97ecc287ca922209274c11dd9e991a04315e8399e118fc,12ee508a-38e2-499d-a932-87a22c85be72,Asterisc,2
0x04b1cd5a7c59117474ce414b309fa48e985bdaab4b0dab72045f74d04ebd8cff,30379152-e0f5-4a59-837d-7ab869598c7f,Lighthouse,1
0xe15a32ba713cc025574ac6f69be3ad16133fb7561c3d7dc30fbf29b65b5a8be2,85dd5d93-d1b6-47d0-ac10-012618d999cf,Erigon,1
0xb2d109759fe14e11ac5cc100ab6006321ebdd7ffdefbd2efac93a002105f8e92,23f59da6-f8b7-4ea1-a947-325fb52f5043,Revm,1
0xe2f742ea351ea741e95f8cf4b2434317d8365c532b97601e8a27854003c2e396,64b4ff9a-f7cf-452d-8932-d0a5f29a828a,Code4rena,2
0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8,1732e47f-c6fa-4ab2-b116-18d33347c3e9,Solidity,1
0x5742c7b3f7096fb9dd7a82cc62a4fda1e72aad9bdba9818c0d953fc82be9903d,8000f4ed-b6b6-4415-a9b5-0a6b198e0d6e,Cantina.xyz - OP Stack Audits,2
0x834139065d671234f9a922e6b55c33cc45ece1316cfc6e477b07488b76ce27c2,849c2eb2-53b3-4dda-87f5-7ff52877eae1,Fault Proofs security research,2
0x5759249c433d67eeb2ca1b6ff827feec164b60b92e849d6ce0db0974cedc4a89,dd8d7a7e-5f95-4523-8f6d-c3a64ee7754b,OP Reth,1
0xfad78fad680d407f81e7fd46632b4b4936676d1776a5cbf02694b94698495746,859e370c-eb5e-40d5-85a9-1e809aef0021,OP Succinct: Full ZK Validity Proving of OP Stack Rollups with SP1,2
0xc879d4a2a344a4027ee8abd520d65afdfe1300b6f080b223fafcebdf5640c218,187d251b-6c9e-44e4-b502-6262cfcba883,Conduit OP Stack Contributions,3
0x79c2ae8858a5a3bd7f2e0da9509d727833ffa01f358b5969355f38ff32b20122,06bceb66-8644-4704-8a73-e1b3feb328cf,go-ethereum,1
0x7f1256b007e1156494e43b58d5e85e6ec20f4fcf1e5cac6ebb17b702e9c0b5fb,c043c493-62a9-453b-a599-87c8ae223e22,OP Nethermind,1
0x9151666888d0ca532a529be98a50d2eb992988117e202163f865fa9a27eb7149,d53f8df1-c9dd-49a9-a446-945072af1f6f,Solady,2
0x8e05097e0cd6d79100e77cc5f8efe1b405633ee56c79f54ce657eaa58d3c995c,a298b502-d3c5-4dde-bbd6-a190c3f7b487,Zeeve RaaS for OP Stack,3
0x314a419355259f8afede37756c7d603a7d7f0f9a9e77b8b2d6a7b165548eb629,e6667cbc-b592-4f23-a345-2041307fb820,Derive (Formerly Lyra) OP Custom Gas Limit Research,2
0x28a18006a584489339f6d5266a7585f1c8cbabcb89b2f52e15866e974bcfe802,a25260c8-d283-4d75-b574-0501381f89ee,Fault Dispute Game Audit Contest,2
0xc85a922368c764bfe1774e37d299a751f629fa1945131597e6620fe9230337f4,b72d8fa8-34a3-4a1f-8562-149a3effe863,Asphere Rollup-as-a-Service,3
0x5c7ef2866a2370e1e24397b22dfaf937c2b801778335a755b258c7e8fe19d027,c106f176-a5a3-4dd4-8981-3eda70f11544,One-click bare metal node deployment,3
0x2e075fb37977668c15af474229f2f2abb009850a6a867b8bbf4adb5e293d1fe3,7c0f3523-f210-456c-8ae5-b172a79c8694,Rollup-as-a-Service Platform,3
