id,category,chain,address,active_addresses_180D,active_addresses_90D,daily_active_addresses_180D,daily_active_addresses_90D,farcaster_users_180D,farcaster_users_90D,transactions_180D,transactions_90D
0x31b5aa90f9f11bac5f02283b84850fb2063cf2d6a634a8feae9a4087ddee899c,Art NFTs,BASE,0xe6249eafdc9c8a809fe28a5213120b1860f9a75f,620.0,412.0,49.0,43.0,187.0,142.0,11553.0,5574.0
0x35a372e44e86a21b9c4b3b8ff37d29122cba8b4612f010be6a0558b69c983687,Lending,OP MAINNET,0x0fd11b5ed5b82ef454bee2516d1b23d1b07b6c46,65.0,32.0,3.0,2.0,4.0,2.0,1572.0,762.0
0x39a329cd37242d359199a969d8227415be0cfdc4699d8e941b3aedfd7aaa0283,DEX,BASE,0xd056c0eee354b24fe7c5d4ee762c4d7574badac1,512.0,169.0,13.0,9.0,,,176010.0,83325.0
0x3cd583e5aaa30a7e0f345eb93d6cb682c69f2d6658210a446df19a181be95ef2,Other Category,BASE,0xa195608c2306a26f727d5199d5a382a4508308da,48798.0,41033.0,508.0,799.0,12980.0,11284.0,119905.0,91890.0
0x3e0068679911d0e4bfdfec9b04735997acf9eb7b473b33148f0f9c3446a0feaa,Other Media NFTs,BASE,0xb791556273b26389bcb4865db028898f125e4319,119.0,2.0,6.0,1.0,93.0,2.0,208.0,2.0
0x3f510801ba16ee7c0c46c42830303698312ade34c968b76fb75bacc1e684c698,Lending,BASE,0x223a4066bd6a30477ead12a7af52125390c735da,1.0,1.0,1.0,1.0,,,1.0,1.0
0x46e8664eaff87698656d720d99be76aa901279b21dcc8ff7463e8464f418dac1,Art NFTs,OP MAINNET,0x9b9f542456ad12796ccb8eb6644f29e3314e68e1,209.0,85.0,2.0,1.0,74.0,34.0,248.0,96.0
0x48b6c0de2ed45c099ac38870ef825cafe252776d7f5df3d7b759a1b633876c5b,Community & Curation,BASE,0x2843b40a3ac54044f94480417c2d3698ebc94583,1.0,1.0,1.0,1.0,,,19.0,19.0
0x48db038025ea8e2a260644883b3ec596eca1b9f095314203aa6a55591407cbc2,Payments,BASE,0xf9d643f5645c6140b8eeb7ef42878b71ebfee40b,2.0,2.0,1.0,1.0,,,3939.0,1965.0
0x48fa9bdbcf60438eae9fa452231686b4e8eea87271848d44e6d7d8530d429399,DEX,BASE,0xec6c44e704eb1932ec5fe1e4aba58db6fee71460,85773.0,85773.0,2848.0,2848.0,114.0,114.0,622027.0,622027.0
0x52ea121254dc43ba13f64d9116a0d2c9d5d60084c3fc45196ab0ccfa80ad17cf,Lending,BASE,0xf9cfb8a62f50e10adde5aa888b44cf01c5957055,22174.0,19320.0,662.0,671.0,480.0,284.0,350514.0,194823.0
0x5322710352279831e0c92adfd10ac29b2a41eb8444081b03fc7e8f89785ae76a,DEX,OP MAINNET,0x5e61a079a178f0e5784107a4963baae0c5a680c6,49.0,21.0,1.0,1.0,4.0,1.0,73.0,22.0
0x533107f3ec31787dc080089041243425d8a4494127dc531e022c59d3494c1ef5,Donations,OP MAINNET,0x4f604735c1cf31399c6e711d5962b2b3e0225ad3,1028.0,182.0,8.0,3.0,151.0,88.0,2158.0,591.0
0x5461ea3cd798d789fa1a74f4901a320a085b45fd7a5ecb424c129850ce06bb4e,Betting & Prediction Markets,BASE,0x1674035ddbfa10efd75762a3f102883f6390cdfa,36.0,36.0,3.0,3.0,1.0,1.0,96.0,96.0
0x54db8a5fe4f0d0e329fde781aad7634724372c1c6718a5bed3545fd4e16ccbf1,DEX,BASE,0x95fa1ddc9a78273f795e67abe8f1cd2cd39831ff,2.0,1.0,1.0,1.0,,,3.0,1.0
0x5547a25b77b51432b373e3591374261bcbae40c395edebed622827aad5444ba6,Art Marketplace,OP MAINNET,0xb50875d250fca66775f7b6c2cc4e79cd8cbbba34,251.0,17.0,4.0,1.0,37.0,7.0,1083.0,519.0
0x554c5c35d7eacb5434cb2877aae7fecbe97b0b619bad7286f0d2045dba306196,DEX,OP MAINNET,0x170a5714112daeff20e798b6e92e25b86ea603c1,755.0,257.0,21.0,12.0,214.0,78.0,7445.0,1461.0
0x5996c219143703ae16e0bd592f23fd357ce00f30a6fc456277243d3f6b16f665,Other Category,OP MAINNET,0x55d0efec44ee905fc3e12ccb9f25bbd5cce0ab9c,2.0,2.0,1.0,1.0,,,41.0,41.0
0x5ad7a63e54232e41891adfb3df1b97dcd79a8f79e88010ef5f132c5cf4394da8,Lending,OP MAINNET,0x9ff826860689483181c5fac9628fd2f70275a700,16.0,3.0,3.0,1.0,,,30.0,7.0
0x5ad945659d789fa3fd385ac04d0937e1ec9ea78f0f8f1e56562b3e78a431c87b,DEX,OP MAINNET,0xfbc12984689e5f15626bad03ad60160fe98b303c,1.0,1.0,1.0,1.0,,,1.0,1.0
0x5bdf3a79131dd1e24811bd81917c3bd08edc511a1081bc25cca32d62f4bf8478,Lending,OP MAINNET,0x1ebf59146ccdc4650044fc70cafac298a6083f5f,3.0,3.0,1.0,1.0,,,5.0,5.0
0x5f7fdc64de58286a56bea9027950c48cf611649ba5100ec2de69eb05419f7188,Lending,OP MAINNET,0xbb505c54d71e9e599cb8435b4f0ceec05fc71cbd,5396.0,2830.0,137.0,118.0,450.0,231.0,40709.0,16955.0
0x622f6f36cee3c57a6c775bceb98df0727e6a0ab91abbc4bc9db445611a67d34d,Art Marketplace,BASE,0x6e625892c739bfd960671db5544e260757480725,49057.0,3959.0,745.0,121.0,18719.0,1614.0,136948.0,8095.0
0x63cc6fdd56f87857a02398c2b33c265f3f9709381ca43e5613e19e1b5e6ba1f2,Payments,BASE,0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67,136.0,131.0,2.0,2.0,40.0,40.0,1868.0,826.0
0x66076854e0f9ce49078c76ee39e2e9fae61a8526f406961eb85a8bba931d7dab,DEX,BASE,0xdef1c0ded9bec7f1a1670819833240f027b25eff,351250.0,154685.0,5165.0,3898.0,25332.0,9828.0,2769982.0,1543115.0
0x671db75def52fd3641f240f52d5805a50a1c069bcee2525b254ab1b83a1f8900,Other Media Marketplace,BASE,0x428aef7fb31e4e86162d62d4530a4dd7232d953d,1811.0,1811.0,39.0,39.0,5.0,5.0,13965.0,13965.0
0x773c8b23387b96e5d73954792b0bc192313608951b60fa0424fbdb6e7ee43074,DEX,MODE,0x327df1e6de05895d2ab08513aadd9313fe505d86,2.0,1.0,1.0,1.0,,,21.0,4.0
0x79178fe39ec3ab6a3688ad73f8ce494d0a0a28833510f1aa3ebde0da06297bc4,Art NFTs,MODE,0x4cbda159d77eddce9eba4b8ecddba88040bb3f6f,7651.0,1.0,547.0,1.0,1138.0,1.0,7664.0,1.0
0x7facd3e604b4a4df20c8cca4424355f5087f469486f03950c4fa49a39939819c,Frames,BASE,0x704cf202792341d79a9fd6dd97046aa7ef3f4319,104.0,32.0,2.0,1.0,6.0,3.0,270.0,50.0
0x823a9fd77f25c6d27a8458032f1dfcc374df39d8b32c20b80945e3696e78f51b,DEX,BASE,0x37d607bd9dfff80acf37184c1f27e88388914262,186.0,186.0,24.0,24.0,149.0,149.0,2730.0,2730.0
0x832f864893035ed783f28f5b998d228c08678806e54607639e1823b59c5857f9,Meme Community,OP MAINNET,0x17aabf6838a6303fc6e9c5a227dc1eb6d95c829a,2198.0,301.0,15.0,3.0,167.0,42.0,3129.0,382.0
0x84ec2cf8a86703c538b248e0f33259e6a3173717fdc98d1d9f53b3f3675b86b7,Other Media NFTs,BASE,0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe,1250.0,8.0,19.0,1.0,198.0,4.0,2373.0,9.0
0x85b08eccb4e27c55f5a7d08a857ebc705edc72f94fe1f8780ff6e3a4cf1a4f1b,Art NFTs,BASE,0xe3074dac808848cbbf2e221834b0b3fd6a356b36,85.0,85.0,9.0,9.0,6.0,6.0,102.0,102.0
0x87e7bbd18762bdd154ece86ca1964d326d530cef6033cf3eb384dbb1fd9d6305,Bridges,OP MAINNET,0x0e83ded9f80e1c92549615d96842f5cb64a08762,5574.0,5358.0,46.0,65.0,1511.0,1463.0,7509.0,7179.0
0x8816277f7e1ba12fa07490874886519350e10aa987f38427170c55726b274c48,Community & Curation,BASE,0xfe6af84f2fa6f2c24c7afb05337f7c2527dd2709,4384.0,3020.0,351.0,524.0,1547.0,1134.0,64567.0,49014.0
0x8a0be8a1b3a8b882ab647db8c0b70afde2ded984327beda9ad708d5bf049e73b,Art NFTs,ZORA,0x28e43bb3ee202e1da587c88b0a8398309e8d4c2d,12459.0,17.0,253.0,1.0,1970.0,10.0,13310.0,18.0
0x8b92005c16499a4081884bd7f8e29626dc39ec4c49866e853925b9d3052933e0,Identity,BASE,0xd2c2d1ac51ba7d1ec74da90b07b0fc3fb55294ec,106428.0,187.0,914.0,2.0,22279.0,40.0,107770.0,218.0
0x8bea4fa55d0a3a2942c2bfdcd58c2208fd907cf50e7f0348d9b8a8845bbfef03,Lending,OP MAINNET,0x12ee4be944b993c81b6840e088ba1dcc57f07b1d,2.0,2.0,1.0,1.0,,,2.0,2.0
0x8c724e0da2faa05665be48ccc05d1f814742d93e8f287d8d90271d049c44606f,Bridges,ZORA,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,833.0,758.0,6.0,8.0,243.0,219.0,952.0,860.0
0x8df53d92eb1da6e100400aa48b22c2b61fe2460292e91289025a6ee0262d7fc8,Other Media NFTs,OP MAINNET,0xd12999440402d30f69e282d45081999412013844,11679.0,126.0,100.0,2.0,254.0,28.0,16966.0,144.0
0x907d871a8a8dc9af0acef038b40189479e8d40ae82c42c7ed84dc0340b8af8be,DEX,MODE,0x327df1e6de05895d2ab08513aadd9313fe505d86,2.0,1.0,1.0,1.0,,,21.0,4.0
0x943f2e4e6a6f4bc854c3906645eec25ff4c0a77fe89fca1c14333e9312d451b0,Other Media NFTs,BASE,0xaceb0de9f3efab3c50bf4dc6b14706f119e39dd8,2.0,2.0,1.0,1.0,,,12926.0,12926.0
0x9d3534d8a4cb7e1eb7369ab070666bcb13eb0e4f7f4368d8361f0180c9cab5dd,DEX,BASE,0xe10ed1e5354eed0f7c9d2e16250ba8996c12db7a,6582.0,6507.0,57.0,91.0,1434.0,1432.0,9402.0,9149.0
0x9d51d0c04f7ec9a5376734bff9fe47c6d2a2503e22ddcb2252ef6dcb860d84da,Lending,OP MAINNET,0xf9cfb8a62f50e10adde5aa888b44cf01c5957055,2048.0,1105.0,70.0,53.0,176.0,92.0,125315.0,49266.0
0x9ee3e22f8ebdedbb06accc304d00494c1adcfca56c70c79bdbf70244e93414c0,Staking,OP MAINNET,0x1f32b1c2345538c0c6f582fcb022739c4a194ebb,18060.0,12759.0,171.0,223.0,5987.0,5451.0,42238.0,26920.0
0xa45961c425633d348b287e1cc10c6ec0c47009e447cd32dff5237a249aee3a04,Identity,OP MAINNET,0xb02edc247246acd78294c62f403b3e64d5917031,1908.0,1.0,97.0,1.0,343.0,,2076.0,1.0
0xa580959f06f03d5edb6df9ad6f1f8c158d39bc5d1eedd2733ee6b7c8ab351176,Lending,OP MAINNET,0xd9b605f0b9e64328ae50d1b44ec14d38c009a702,1.0,1.0,1.0,1.0,,,1.0,1.0
0xa582760a977184d9d9c113d86021550e64257fc8ea6c1a25d4d38d5aad017818,Other Media NFTs,BASE,0x80f1483f117c8eb82748f707d4447fad30086d30,10238.0,3856.0,83.0,46.0,2216.0,515.0,20987.0,8273.0
0xa5a91418f85f3207c795a3f10487776b1f97d0a724b1b6b4d8dd42f6ffda7085,Gaming,BASE,0xaeea89678b36c20493e2c069cdcea72e1b34a9ed,3070.0,3070.0,207.0,207.0,10.0,10.0,161652.0,161652.0
0xabe64ba5bf95ee5c6021a40a446535c9b3e65df4490d449eebe2c596de9b9596,Other Media NFTs,BASE,0x061a883e8c2feffb4f3ea42046abd4be88e1333f,3218.0,268.0,23.0,3.0,290.0,53.0,4824.0,400.0
0xacc6146703defc0e69905c51165517b500bb46ddb210013233b5ca454c06fc8e,Gaming,BASE,0xbb56a9359df63014b3347585565d6f80ac6305fd,170.0,58.0,1.0,1.0,59.0,24.0,223.0,70.0
0xb2f8227650914bbdefdf06c6b233868fa0752089683a6c9c771aac7ab0507f39,Lending,OP MAINNET,0x03d0b417b7bcd0c399f1db3321985353a515b2b8,2.0,2.0,1.0,1.0,,,2.0,2.0
0xb60f9a21fa64b2eade53c6d07224a0ee6ab12e951a5904a79f1805bfe40d395b,Art NFTs,BASE,0xe842537260634175891925f058498f9099c102eb,294.0,192.0,54.0,48.0,163.0,114.0,6367.0,4469.0
0xb8056b25864b8ece66f9ab3421b7f527f86592cb534ac30472f59a97daadf5c8,DEX,BASE,0x940181a94a35a4569e4529a3cdfb74e38fd98631,199521.0,130073.0,2969.0,3198.0,13091.0,8207.0,974438.0,500236.0
0xbac3c97e6fb83e860ccd589a398f80d9a3814463f052c1f7ef9565a0627f78e0,Lending,BASE,0x8a76639fe8e390ed16ea88f87beb46d6a5328254,36.0,36.0,2.0,2.0,2.0,2.0,998.0,998.0
0xbbd0e79f9e390b86e3d520cef2ddb18ae3b54d67b88cff5fda7c98428cab63a3,Frames,BASE,0x948092958c66f228e6c7afcc96935661eea4a3c5,17.0,17.0,1.0,1.0,13.0,13.0,114.0,114.0
0xbcd719fcb192a415bc74db85af5f48d0b887d93685de18c8c96d5927a0b6c439,Other Media NFTs,BASE,0x67d7e7bcc964de5bef0951eb818e3a9a136312b5,1540.0,1540.0,31.0,31.0,642.0,642.0,2150.0,2150.0
0xbd9c770aee6f312fe71cb2ffd20b9c214d7b0804cf6e109d79a934fe24024c87,Betting & Prediction Markets,OP MAINNET,0xfb4e4811c7a811e098a556bd79b64c20b479e431,2975.0,2974.0,121.0,127.0,1532.0,1532.0,207593.0,207521.0
0xbe14554df0ccce5c652c545f885bd290e60cb944d053166431071d40a882e482,Lending,BASE,0xbb505c54d71e9e599cb8435b4f0ceec05fc71cbd,42700.0,30077.0,700.0,860.0,3348.0,2652.0,230323.0,138497.0
0xbf7fa5f2141df1096f44f4f52e2e5e4ac4c66f30202e8bb82070ea9db801f52c,DEX,BASE,0xba12222222228d8ba445958a75a0704d566bf2c8,51447.0,22967.0,469.0,369.0,2013.0,1054.0,115511.0,44148.0
0xc0c5f914d4d70001da88023ad94cdf5db4838821bba391f2e87dd1d2106794e1,Community & Curation,BASE,0xf2a919977c6de88dd8ed90feaadfcc5d65d66038,7.0,3.0,1.0,1.0,,,32.0,19.0
0xc2287cefb381697388d9394dfa8ad75ecfe8c0312d32fdab45816f739851afe2,Identity,BASE,0x8448860bff06fb2f942270402a4a846b864abd92,406.0,271.0,3.0,4.0,103.0,55.0,1442.0,598.0
0xc27fc70166964115ebaff8c8727e5946a34c395829cd46c481c6c57cf3ddba6a,Lending,BASE,0xc2ddb87da8f16f1c3983fa7112419a1381919b14,6.0,6.0,1.0,1.0,,,15.0,15.0
0xc810d42226b179e1228c923b2fea677ba862ac4fdc606c503e7119637fc0f425,DEX,OP MAINNET,0xba12222222228d8ba445958a75a0704d566bf2c8,12885.0,8964.0,176.0,201.0,4338.0,3726.0,39706.0,21900.0
0xc9aa9e1c2bf5b482a9cc8b1ae9fc41ffc351157421e9c6123fbf0e4e0bc1e1c6,Identity,BASE,0xe10add2ad591a7ac3ca46788a06290de017b9fb4,59537.0,23463.0,1067.0,823.0,5148.0,3083.0,379884.0,208580.0
0xca1d969acf679ada68110f65ada056a5e9854f23f23df8a6aaa864261f0d29ed,Community & Curation,OP MAINNET,0x00000000fc6c5f01fc30151999387bb99a9f489b,452.0,316.0,10.0,11.0,123.0,80.0,38016.0,34026.0
0xd28af45621b0a6d294d7213fd13df7c72b688c853606570bc167401753c7c2d8,Betting & Prediction Markets,BASE,0x6b4819f78d886ef37d4f9972fd55b0302c947277,384.0,384.0,57.0,57.0,59.0,59.0,73842.0,73842.0
0xd4e02ab18d73ea3c3def87b73a0eba1697ca64e4828c49b455e09e79a01bfae6,Bridges,MODE,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,494.0,147.0,7.0,5.0,139.0,47.0,745.0,193.0
0xd5258b86d7643235dcde9da80cdbbe1e2b32a0242089c980bebe889c7c9463fb,DEX,OP MAINNET,0x9560e827af36c94d2ac33a39bce1fe78631088db,33770.0,19518.0,508.0,458.0,6958.0,5341.0,158875.0,65812.0
0xda4cc896899cf0c4c851e37c230904050ab29cbbaf4fc823ff2cb83a267fef68,Art NFTs,ZORA,0x1f781d47cd59257d7aa1bd7b2fbab50d57af8587,42458.0,6403.0,320.0,95.0,1297.0,197.0,73678.0,11216.0
0xdcf5097af0e4e4d37f5b916e91e0a565a388888ad57fda7f6ae1d3d91f1577c2,Staking,OP MAINNET,0x32934ad7b1121defc631080b58599a0eaab89878,4.0,1.0,1.0,1.0,,,13.0,3.0
0xdd11c5d6f935ec24a5ba4b9566deb5dd38dc478c95c4c6d8d5b7d39ede96f20c,Frames,BASE,0x4054ad4648a2c33e1be07ba05d381b4ca032cefc,7.0,5.0,1.0,1.0,3.0,1.0,135362.0,133808.0
0xde02d8998ac8ef9b34dd9b131a5ed9655874cd8e1ac2c3654632f94f2a98d705,Other Media NFTs,ZORA,0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe,545.0,4.0,10.0,1.0,164.0,2.0,949.0,4.0
0xdf5cbcfa0d94e9ba9b42d1172103778189cd7c2e0d04c493b4c97a3dd5cc8584,Channels,BASE,0x704cf202792341d79a9fd6dd97046aa7ef3f4319,104.0,32.0,2.0,1.0,6.0,3.0,270.0,50.0
0xdfebc4fe08d758496c2d33d1b06b4f814de6c9e985570bfb5285075652ddaae4,DEX,BASE,0x49afe3abcf66cf09fab86cb1139d8811c8afe56f,34.0,17.0,1.0,1.0,5.0,2.0,55.0,26.0
0xe1f22df3fbef95845558d185b4167c465bd5e54e523b72d9a27fdc988d88cab5,Art Marketplace,BASE,0x8a6f2c9601a635a6698809c4d62f3be172892d4d,1165.0,127.0,12.0,2.0,267.0,32.0,4800.0,140.0
0xea53703efa4ccaea7814ef95b215169c09678249fe91dd6c0e1c748b07fb2249,Meme Community,OP MAINNET,0x128a1e35398c72a9a060f482963f594752beccef,14922.0,129.0,224.0,7.0,1902.0,4.0,15599.0,303.0
0xefd8d5baf37027cfd1fcd74ebea69587a035eab77a1f1c88ba7a07905408181e,Identity,BASE,0xb477a9bd2547ad61f4ac22113172dd909e5b2331,1.0,1.0,1.0,1.0,,,1.0,1.0
0xf6bb2207614e30a2e7d64a29ae4839d48cd2246c5f937084965b87ab598c76aa,Bridges,BASE,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,12654.0,12014.0,109.0,151.0,3782.0,3568.0,18342.0,17352.0
0xf720d58a54ff5b214331d68b4836bf9228902c96cc1ff463479403ba0a944ea8,Lending,BASE,0xd722e55c1d9d9fa0021a5215cbb904b92b3dc5d4,439.0,438.0,17.0,19.0,32.0,32.0,1453.0,1442.0
0xfa1261b44aca3777bba2ecc8fab5c72aae69e4d8679b4e3b07ce1cbcca03743b,Bridges,BASE,0x3154cf16ccdb4c6d922629664174b904d80f2c35,67.0,40.0,1.0,1.0,3.0,2.0,79.0,44.0
