ID,ContributionsCount,ProjectPayoutAddress,ApplicationId,ProjectId,MatchPoolPercentage,ProjectName,MatchAmountInTokenHex,MatchAmountInToken,OriginalMatchAmountInTokenHex,OriginalMatchAmountInToken,Index,ChainId,RoundKey,MatchAmountUSD,OriginalMatchAmountUSD,RoundId
36,105,0x966a4b9d5d2e01799170a0865c2d1cbbc1904163,231,0x02bbb649cae9b3141d1a783931f3f0bb76f10d54d863ff7135b55f8d4ab9e88b,0.007122,LexDAO,0x4d3836fff0c12c0000,1424449999999999934464,0x4d3836fff0c12c0000,1424449999999999934464,24,424,255,1424.428807940576,1424.428807940576,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
39,181,0xd39ae1d107ada5817e8d6e2337b7fe2b990deaf6,186,0x2ca8bb1ea203b16897109a7def1678e623cf46aecd500a135434b1e3c24ab4e2,0.006439,Decentralized Science on Gitcoin,0x45cff433e3e3cc0000,1287809999999999934464,0x45cff433e3e3cc0000,1287809999999999934464,27,424,255,1287.790840783428,1287.790840783428,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
57,120,0xf071e75c56ed5b162b5cb5e9d30d752bcd663f2d,167,0x7d8e8ab6abc76ba069c06e5735c6fc2e7e469c6d84ef6a4319f2d9b546076fab,0.004624,JobStash,0x3224d0a03164940000,924990000000000065536,0x3224d0a03164940000,924990000000000065536,45,424,255,924.9762385881947,924.9762385881947,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
12,9090,0xd2c68ad0a5d719e0ad2c602d5e879b8d9cdbb37b,20,0x8922fedbc096d4323fdf3e6de55477a6e487d4bde5ab92d1954ff0f0a9104de9,0.0742,Trustalabs,0x03247a5efe4f6ce00000,14840000000000000000000,0x03247a5efe4f6ce00000,14840000000000000000000,0,424,255,14839.77921993623,14839.77921993623,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
18,523,0xb14faa3630f8a9c4b61ddc51d2a6f2aeb4c5e0d2,18,0xa472e5da40273206293b1af9a8bd1c17a10fb6da6c2552b9758eba36a30cfafd,0.011705,Revoke All,0x7ee82dc6be94f40000,2341019999999999868928,0x7ee82dc6be94f40000,2341019999999999868928,6,424,255,2340.985171796166,2340.985171796166,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
29,204,0xe1887ff140bfa9d3b45d0b2077b7471124acd242,175,0xf0a3ebfbb295ea4691e2fa72cca351df05e2fc1f3b99cf0dd69bf5fb0de5ce2d,0.008251,Bankless Academy,0x597735051229e80000,1650349999999999803392,0x597735051229e80000,1650349999999999803392,17,424,255,1650.325447144323,1650.325447144323,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
41,115,0x56d579a23c2d37d1e42923858ce33856df0ae5db,32,0xaff83448bc6a663266e1103d13994ead4cede4778f14d755cee8ca8d9a280fa4,0.006094,Public Nouns Operations,0x4212867c6a35980000,1218819999999999868928,0x4212867c6a35980000,1218819999999999868928,29,424,255,1218.801867172687,1218.801867172687,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
42,444,0x36ff2468daa79f52d88d7359a631cf7ab4bdc8bb,21,0x37498036c3176e6e3e6c804b1d24943cd9c81d9a2b1ac5ff6523191ab4ffce4d,0.006074,DeBox,0x41dabc93b6b8880000,1214800000000000000000,0x41dabc93b6b8880000,1214800000000000000000,30,424,255,1214.781926979685,1214.781926979685,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
43,131,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,227,0xbac939134dcb13b61a5d417f994a575417c11b78cd2b48551ef1995912f4759e,0.006038,The Noun Square,0x417810c86257800000,1207689999999999934464,0x417810c86257800000,1207689999999999934464,31,424,255,1207.672032757735,1207.672032757735,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
220,57,0x978eb534b26cb8749d352a2c94ec21e659e4248d,106,0x5bab729d10cee90325b1d6c7b141be71479cc907a4aee6d79f2810a19ba42f43,0.001195,dOrg Hot Seat Podcast,0x0cf5119f9e25de0000,239020000000000000000,0x0cf5119f9e25de0000,239020000000000000000,208,424,255,239.0164440127464,239.0164440127464,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
246,48,0x3e6c23cdaa52b1b6621dbb30c367d16ace21f760,116,0x7d8ba62b105e643db505b91962df395987b168adba6b5fb2861d0756ca96a458,0.001067,Web3 Talks Podcast,0x0b925a430a5ae20000,213460000000000000000,0x0b925a430a5ae20000,213460000000000000000,234,424,255,213.4568242781393,213.4568242781393,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
273,47,0x1deef3c8ab617767900861438f4a033abe95a19e,343,0xceca32094d27d425f249439be011e2d02b6edddc521330f7420219aa15325895,8.08E-4,OpenBuild,0x08c4bb7003036f0000,161750000000000000000,0x08c4bb7003036f0000,161750000000000000000,261,424,255,161.7475935865691,161.7475935865691,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
321,10433,0x03ba34f6ea1496fa316873cf8350a3f7ead317ef,4,0x661adec1a01270a6f2d0fa694e85810429dbcbacfcb2aa42445c05badce85e39,0.0742,Hey.xyz (formerly Lenster),0x03247a5efe4f6ce00000,14840000000000000000000,0x03247a5efe4f6ce00000,14840000000000000000000,0,424,254,14827.4684934946,14827.4684934946,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008
328,3884,0x57ea12a3a8e441f5fe7b1f3af1121097b7d3b6a8,77,0x9fb5b0d0698dc64cbd3a01c5205ebc5ef609e7d20c21ce20ee2c73905a8309a0,0.032599,Umbra,0x016170f4c0683ed00000,6519840000000000000000,0x016170f4c0683ed00000,6519840000000000000000,7,424,254,6514.334378883141,6514.334378883141,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008
354,237,0x43737376755b1549a086e9b218057d1dbdc139cc,189,0xb3294ce7bb56ac18bfd6b97075f02376e92dd1a54e173aec0f3cacb559a28add,0.005322,ZKP2P Fiat On Ramp,0x39b3a7f7839d8a0000,1064410000000000065536,0x39b3a7f7839d8a0000,1064410000000000065536,33,424,254,1063.511168407048,1063.511168407048,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008
380,261,0x06c9ad27ca815d6e8370580c6397b70f87c4ffa5,150,0xb4f2bb5884b9c5866dc1b6cf028a487b1af91c151ddb911afcfcc9fb08b5acdf,0.002453,WalletX,0x1a987154b096a40000,490600000000000000000,0x1a987154b096a40000,490600000000000000000,59,424,254,490.1857171771192,490.1857171771192,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008
409,172,0x63cd2c691632720ff2abdd0b6aaba2466d3fe468,140,0x4e11571892e7edbb6aa03c8327aad0325faa2297559fbccc82ac93a369267948,0.001436,Lume Web: Redefining the Open Web,0x0f91d6e54bd3f08000,287209999999999967232,0x0f91d6e54bd3f08000,287209999999999967232,88,424,254,286.9674680604166,286.9674680604166,0xd4CC0dd193c7DC1d665AE244cE12D7FAB337a008
461,25,0x0e707ab69944829ca6377e8f3aeb0c9709b633f7,18,0x4bbd43c6c54166e2dcfa541082d99c67ceed1bbe68615810c1f869e224c8c7e2,0.081221,Duke,0x071422395e88d6cd,510070287594215117,0x071422395e88d6cd,510070287594215117,3,10,20,932.5841193893067,932.5841193893067,0x35C9D05558DA3A3F3CDdbF34A8e364e59B857004
463,17,0x2DF308A60D0bb3d6F3fb6a4b8268f2BcB99B9299,41,0xed09b668609b58ff1c8445d49162a53092cb86d57e3739f36e3d747cc47d9fdf,0.039239,Babysitters,0x036b78c288f6b9f6,246423381538683382,0x036b78c288f6b9f6,246423381538683382,5,10,20,450.546792978487,450.546792978487,0x35C9D05558DA3A3F3CDdbF34A8e364e59B857004
515,5118,0xd165df4296c85e780509fa1eace0150d945d49fd,8,0x76eabce511626d1d54bdae4770c3dc172bffca39ba53d82c27defe44ddb94cfa,0.1,EthStaker,0x945a825ca8ed0000,10690000000000000000,0x945a825ca8ed0000,10690000000000000000,0,424,144,16857.68782037099,16857.68782037099,0x222EA76664ED77D18d4416d2B2E77937b76f0a35
523,2971,0xc2172a6315c1d7f6855768f843c420ebb36eda97,20,0xf9232d7ef9ed63d584a6d35561d189c73dccf11bd03d9992b2700faee0d77b46,0.042469,Ethscriptions,0x3f0151f230460000,4540000000000000000,0x3f0151f230460000,4540000000000000000,8,424,144,7159.392208090205,7159.392208090205,0x222EA76664ED77D18d4416d2B2E77937b76f0a35
550,95,0x511f61e5e800712c938718045f4052e536dc90a6,114,0x4e6856c7a20c158b4708a28fe94f825e7cce330d23751bf904b8be66f46f451b,0.031475,Cori's work running Gitcoin onboarding events & webinars,0x25ef2c9cf2157c0000,699763853164849922048,0x25ef2c9cf2157c0000,699763853164849922048,7,424,209,797.7196502410435,797.7196502410435,0x7492a8c4ED29B1F1559888Bd832fAe5D33E10370
577,82,0xd11256d99f8833bee0b99203ddcfe4cd6c823d8d,52,0x92b8c965ab67c10c461575a3ca1b087dd09c1f77f5c79cfade162fc9c0416f5e,0.01112,Guil is onboarding and creating content for Gitcoin,0x0d66ea22d01e628000,247223450971901427712,0x0d66ea22d01e628000,247223450971901427712,34,424,209,281.8307975594007,281.8307975594007,0x7492a8c4ED29B1F1559888Bd832fAe5D33E10370
602,35,0x521aacb43d89e1b8ffd64d9ef76b0a1074dedaf8,3,0xc685cd32ae23ff7dbd8f6246af3234076f97c0d2bd1af0504f36470c645efc19,0.003651,Bob Jiang,0x04668bb37eaf248000,81176173265155293184,0x04668bb37eaf248000,81176173265155293184,59,424,209,92.53954495093203,92.53954495093203,0x7492a8c4ED29B1F1559888Bd832fAe5D33E10370
637,195,0xC24223341415Bc8CaB0ffA5C2A6200d835fB1FF5,0,0x08f2ce277d3440c8df5b2e73706a6493af81f557eb8d2c224ca8778b33e526ed,0.0,NFTEarth,0x00,0,0x4e9acad5921c680000,1450000000000000000000,0,42161,203,0.0,1472.248379980163,0xD0a086C37Fbd20C44F3Ba2CFF69208D1B62F54e3
659,13,0x588F811198D28BAB376622A6a11ad2806C77071D,9,0x7ed48d91e05314a22fe1bd23b89b501ed4c848dd003bff6eb27375a1f74ccda5,0.028621,ilk,0x16dec4de51515b51eb,421880569034304082411,0x04618a1ae4f144ae84,80815436033905962628,10,42161,1087,501.4546576951444,96.05864736939556,0x6a4122E7acCBE88e0792c73Fb32133fCA584ebB7
705,40,0xa5a59f3505E9Cd8B541d0157d120AC22A2fbBb77,11,0x24b9f72ed87791dedba80f583dde33079db9599eb878b14f8e8cb6df8352f98d,0.2,Aura,0x010f0cf064dd59200000,5000000000000000000000,0x010f0cf064dd59200000,5000000000000000000000,0,1,160,4998.777809612156,4998.777809612156,0x905eFBaBe2d52cD648FAdfafCeC8D6C8c60F7423
700,497,0x79DBeE3922A1917d898Db30315b220F381248fC5,16,0x424a79c1d12b0cf3c40ade73f0757b5b521d885a3fdde306837c75ae806d9c37,0.201423,Cancer Screening Saves Lives,0x0332f012af7319c7a747,15106735734321985333063,0x0332f012af7319c7a747,15106735734321985333063,1,42161,10033,22182.31843708603,22182.31843708603,0x302Dbc8eB3bf73565A1205648B61b23CB3f72Ff7
701,474,0x0D9e92c9B5a7461a91E19C14cF10B90e2222e652,17,0x94e7361ddbe5a7d976d06cf7ad052373609bb6c7ed9945c42ae2b478a437e221,0.171124,Cancer Crisis Response Fund,0x02b7c07767f5f4b67e47,12834355799111719353927,0x02b7c07767f5f4b67e47,12834355799111719353927,2,42161,10033,18845.61776134991,18845.61776134991,0x302Dbc8eB3bf73565A1205648B61b23CB3f72Ff7
702,457,0xc8973fA57723db66b4aB2b050ebC78f98A187442,14,0xfd5d5be049824af2a0f36746330b0726e5ec81d15060bf4947af3b1d2e90ca73,0.147706,Health Equity Initiatives Reducing Barriers to Care,0x025889c4f52e2c6c7d9c,11077973773283024993692,0x025889c4f52e2c6c7d9c,11077973773283024993692,3,42161,10033,16266.59433237782,16266.59433237782,0x302Dbc8eB3bf73565A1205648B61b23CB3f72Ff7
703,433,0xe783F3d5db4Bb969878293460AfCCae0C8baD6f0,19,0xd779253f1982bce86f4627718bef62e84c72568ec9eac760995083bceac17639,0.115532,ACS CARES™,0x01d5b9fbccf1d91df869,8664924501025052555369,0x01d5b9fbccf1d91df869,8664924501025052555369,4,42161,10033,12723.33864147476,12723.33864147476,0x302Dbc8eB3bf73565A1205648B61b23CB3f72Ff7
685,50,0xE5F426fE1536b04Bd4aF8C7c405564C5B80F723C,23,0x085b4d15ee4aa73bd26ad192117fd8af8d319aad7c9dc1b241028818b61e3264,0.048277,Osmium,0x3ecf7e17433df0a015,1158649545960478253077,0x35ed4c11174ad58b0f,994776496583562595087,9,42161,202,1176.42752896901,1010.040058991374,0x1D16F0EEDF8CED25f288056dDCbB653D0f0451AD
714,798,0x947F8A49640B4770A8c7fE3C1E69FfC974295448,3,0xc290dd8e51ac35480d9872ce4484aac23bb812c47c0567bfd4beb9113726ed11,0.1,ZeroPool,0x032d26d12e980b600000,15000000000000000000000,0x032d26d12e980b600000,15000000000000000000000,1,1,156,14997.54415804654,14997.54415804654,0x274554EB289004e15A7679123901B7F070dDa0fa
715,979,0x73DcE9348a03975415C6Fa5296e71C1ABaE61407,4,0xf10d9fafd2491e190fda57aacd786aa6ccd2d8145476e41999a8afdd26aeadbc,0.1,zkBob,0x032d26d12e980b600000,15000000000000000000000,0x032d26d12e980b600000,15000000000000000000000,2,1,156,14997.54415804654,14997.54415804654,0x274554EB289004e15A7679123901B7F070dDa0fa
739,24,0x86579EBcE57605929Da73d8cE17f40960c3b052a,22,0x7352c239d0dd8c39062300c7a507aed952f61908a44b0a0e146d8b6eec846e58,0.01518,Shamba DMRV and Ecological Data Oracle.,0x3db8d7f56b1259fc43,1138570772759472372803,0x48cf6c61473070862d,1343112001528806802989,14,1,164,1137.468612720823,1341.811841353495,0x6e8dC2e623204D61b0E59E668702654aE336c9f7
765,7,0xcd9fb300AA5B67842358f00179BeA9ea7FC36bD6,59,0xad97a80fe1e13cd10e7822b02a681cf92da342cc51b6a7296e9fc186d834d65a,0.003577,OpenDenzent,0x0e8bf89fead24367ed,268340404228328744941,0x098b3c0375a2e2dc47,176053594537039420487,40,1,164,268.0806451712973,175.8831710190625,0x6e8dC2e623204D61b0E59E668702654aE336c9f7
766,8,0xe50c2122cf0A1036ccDa6a3b17c057990aB23aec,18,0xe05b779c6abea976ba560da965c57e9af528497ca7b52a4ae73d32ebc377efd7,0.003307,Fractal Flows,0x0d72d49c27c0cc43d8,248082083068162884568,0x09218f173ad334b79e,168438873729726199710,41,1,164,247.8419344846892,168.2758214188627,0x6e8dC2e623204D61b0E59E668702654aE336c9f7
794,85,0xb361eD1E9cb44ADA51893523995B727257C8037A,3,0x06383809f47c091155dddc3a510356e8380f68c6058d7f0ec0dc790578b52240,0.199999,Blockchain Foundation,0x043c33c19375647ffffd,19999999999999999999997,0x043c33c19375647ffffd,19999999999999999999997,4,1,168,19986.87189342774,19986.87189342774,0x32c49d2dA5f6866a057e4aA2058c62A2974a5623
797,8366,0x3A5bd1E37b099aE3386D13947b6a90d97675e5e3,9,0xbe519f8c8f7ff2acb359dd757c5d2bf25b05d9fd29b8684885aa27f1fa487fcf,0.04,Lenster,0x02f6f10780d22cc00000,14000000000000000000000,0x02f6f10780d22cc00000,14000000000000000000000,2,1,153,13986.44771066475,13986.44771066475,0x12BB5bBbFE596dbc489d209299B8302c3300fa40
819,340,0xC8b960D09C0078c18Dcbe7eB9AB9d816BcCa8944,4,0x6240733cbc0b059b43031826f606ee20ad649694e47340df13672ed2d560e6a9,0.019393,xLog - Write. Own. Earn.,0x016ff7e6eef206e9d9ad,6787818302746682579373,0x01409ebbb3cbef3e09f8,5914396036954167577080,24,1,153,6781.247554347116,5908.670779358735,0x12BB5bBbFE596dbc489d209299B8302c3300fa40
164,60,0x3fb0d1e89693b8709de60d835452a4712d1c9b04,160,0x91ad604137e206fbdd50b8e81bc4c20d2e7a5f25b54bf71b4f49d51b0ce9d20c,0.001884,"Tulum’s Tomorrow, Accelerating the Regenaissance with ReFi Tulum",0x146f3b6bd5537f0000,376950000000000000000,0x146f3b6bd5537f0000,376950000000000000000,152,424,255,376.9443919780971,376.9443919780971,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
191,72,0x6e72f14a6a8c60d3c938b7a14ea7ad3fb6c4a7c9,95,0x3e13d9bdf20571cb3d523e58bf601fbfeac8496c261afdd4db0ee0df663c3149,0.001541,Blockchain Accelerator Machine (BAM) - Version 2,0x10b75aca3d1b740000,308360000000000000000,0x10b75aca3d1b740000,308360000000000000000,179,424,255,308.3554124164107,308.3554124164107,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
219,75,0xeb2cc6976cfd9fdef6d0feb6d4be7b3cdf70a2a7,2,0x083205b4769e1c414e6344eb0db7d01f1b6626010e4bb5e852b4c281d16e2d25,0.001198,Encriptados,0x0cfe16e32c85df0000,239670000000000000000,0x0cfe16e32c85df0000,239670000000000000000,207,424,255,239.6664343424606,239.6664343424606,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
245,52,0x70b6eaeb76596ca1378aec3ca84284f2131e8304,212,0x94bf6acf22160a3790a0ecac75858d744cc02ade2bc3b598ef6d5436824c1af5,0.00107,Build days and growth of university communities by OWA,0x0b99fc41205d590000,214010000000000000000,0x0b99fc41205d590000,214010000000000000000,233,424,255,214.0068160955897,214.0068160955897,0x98720dD1925d34a2453ebC1F91C9d48E7e89ec29
846,86,0x33359285F30E7B3386dE70ca500F4fe27853765B,160,0xcc6ef0d560ac3b727cbc801ac4635187cda938eb28427cf8675ed4c50401d32e,0.001326,Onboard 1000 Scientists to Web3,0x192b9fcef9fdd2664b,464312060480767288907,0x160a01177d9bc93c81,406549252865218133121,51,1,153,463.8625968103757,406.155704786371,0x12BB5bBbFE596dbc489d209299B8302c3300fa40
874,45,0x690315449eFad5f8B06a356f16eecFC41F475F70,1,0xdeffc2d190ddec88d06ba86e1eb09abe5a9ccb49ab1dc1a6005ebd7afae0489f,4.7E-4,datalatte ☕️ ,0x08eccfebed3cc2d19c,164638069506965688732,0x055997fdfe1a6c339a,98689628227213472666,79,1,153,164.4786964531403,98.59409462749036,0x12BB5bBbFE596dbc489d209299B8302c3300fa40
902,8,0xA578d44eF20BAaaA694C10C9DE909cA83e241Da8,83,0x8df4998885bf72d0e1b446216f66ee2152a7d5fe931d90aeb36b6a892078f02e,1.6E-5,Stackly,0x4e35d229b12d0a39,5635641585232054841,0x25dc7d97e61ed08f,2728193565633990799,107,1,153,5.630186167706852,2.725552617879416,0x12BB5bBbFE596dbc489d209299B8302c3300fa40
928,228,0xD165df4296C85e780509fa1eace0150d945d49Fd,8,0x76eabce511626d1d54bdae4770c3dc172bffca39ba53d82c27defe44ddb94cfa,0.081337,EthStaker,0x0371dda591b1b494f469,16267552860784079205481,0x036ed63a6d5e84c1c6d1,16211678067642473760465,4,1,154,16251.80553341652,16195.98482822943,0xdf22a2C8F6BA9376fF17EE13E6154B784ee92094
956,26,0x81c776d0D7F7d9D3699851993EcAa88A46187F11,112,0xa8570318dc5eb4618cb030b0f06ea912302efedecf23d819710ae76ff9f238ad,0.009533,Treejer Protocol,0xb4e4691e25c35cdd80,3336872652728461745536,0x0489d80d2af6c0862380,21432238016302959436672,7,1,158,3333.642491038129,21411.49116696732,0x421510312C40486965767be5Ea603Aa8a5707983
957,31,0x24451D42d570d62b01c070956Ec3f61F43801036,72,0x78b858009ecfa46c866a7765cf0665699dd097eaadc3bdf9fc4f1f2229823bf5,0.011188,WaterDAO,0xd449cb0637efbebca9,3916027094248781167785,0x02345fad7c11c4c3dca2,10410857960592518667426,8,1,158,3912.236299089785,10400.78003492751,0x421510312C40486965767be5Ea603Aa8a5707983
981,19,0xEAF9830bB7a38A3CEbcaCa3Ff9F626C424F3fB55,70,0x8ff451f12986dfd36b94d84c86a0bd29edb81118ac1efa791ade5b7306c11bb3,0.009293,Climate & Nature Hyperstructure | .basin,0xb0563f514322695b50,3252841732332457646928,0x4e29fa342bfda2fa82,1441870825212621290114,32,1,158,3249.692914309719,1440.475064454954,0x421510312C40486965767be5Ea603Aa8a5707983
1008,14,0x65ad2BF7E09af2597C140dF6386a3003d0F5f8Ee,1,0x2ab008b38b30646c337111794ee8d383d03e96e5a7d5401e8ba97ba4ecee09fd,0.003086,Cosmos for Humanity | C4H,0x3a8e3b5506040ed53c,1080160035136491935036,0x1064f1dc295a3f30b5,302421742122698748085,59,1,158,1079.114417899025,302.1289916262332,0x421510312C40486965767be5Ea603Aa8a5707983
1036,4,0xc15677AbA8826e78266ff32d3b4bb4bcC8CD9b19,98,0x22d833e596690bc4230067cc03a296f280977c740c5dd2ccc71e4cbcac3ce4ce,7.55E-4,Proof of Renewable Energy Production (PREPchain),0x0e560f2da74889223b,264455642440345920059,0x05900556a7c655f126,102611516563479982374,87,1,158,264.1996439130108,102.5121864947945,0x421510312C40486965767be5Ea603Aa8a5707983
1064,119,0x52788Ca4b2fB6e707F811C104dd116684aCb76eC,33,0x139a5b1185ec14b4e0a2a7d181049938ff9d031ce70b475c7045e80a7c20ffcc,0.04,ComingChat,0x6c6b935b8bbd400000,2000000000000000000000,0x6c6b935b8bbd400000,2000000000000000000000,11,1,162,1998.749961139269,1998.749961139269,0x9C3B81967EafBA0a451E324417DD4F3F353b997b
1094,17,0x0398a897E8312a0382C65907368CF244a7a3eDbd,4,0x8f133893d4e91f396482389e8433687a85144e81ebeda709f1e0f0d54f7a5990,0.05,ENSRedirect,0x878678326eac900000,2500000000000000000000,0x878678326eac900000,2500000000000000000000,1,1,166,2503.364103554675,2503.364103554675,0x64E5b2228eF31437909900B38fC42Dd5E4B83147
1117,14,0x8dA48e5846c06B558970ACd42EDc7Da8799481E4,42,0x63e718a81e41878e0bb19d36be4e64780247d87f5b5b1a0d0c12b2ae1cf12cd5,0.015044,SetAvatar.eth,0x28c70857b75863b23d,752211572406716969533,0x28c70857b75863b23d,752211572406716969533,24,1,166,753.2237794565574,753.2237794565574,0x64E5b2228eF31437909900B38fC42Dd5E4B83147
1148,27,0xdB587c215626Cc38c04f9e283e159F3907791baf,227,0xa8ad26b01c20a6d56bfb9f8b078e8063a2221f7b45e5ec3a460d514ff9994897,0.06,xBound,0x028a857425466f800000,12000000000000000000000,0x025d78e08617821c84f3,11168990273709138543859,1,1,157,11994.41502545346,11163.79206317671,0xAA40E2E5c8df03d792A52B5458959C320F86ca18
1172,23,0x8Bb8B015Cce1Ea68d6072fc1eE71f6Af2B315a88,163,0xf9303b24a514622870dc1a48a1effb8d23ecfe84e48d8431cc311e61a755b3ba,0.010949,Defy Foundation,0x76b7134e58314e6bf1,2189907774571916717041,0x7cf802c20c312108ec,2305267324768963594476,25,1,157,2188.888559640229,2304.194419824647,0xAA40E2E5c8df03d792A52B5458959C320F86ca18
1198,20,0x929e1b374FB07486c9A64570e5BDA99383f48785,220,0x3d7775c1332136dc23e46b0c7660793d50084d99a114f35f03d714d055423758,0.003245,Solow,0x23312c662b028ec459,649179361921580581977,0x2d6776c5bee0e7690e,837558846973695977742,51,1,157,648.8772244038748,837.1690349035647,0xAA40E2E5c8df03d792A52B5458959C320F86ca18
1225,16,0x09479F367332F8F54e38e6415f3892b10bD7bb64,107,0x1896c572a8bcd8cda51d43bd1b64cf00b1846cfc5552e0e784dadb5b7a36df94,0.002244,CriptoCuriosas,0x1856650bd569effe80,448947252840172093056,0x152fb2b2da7e2a8603,390818631665027024387,78,1,157,448.7383062585179,390.6367389891802,0xAA40E2E5c8df03d792A52B5458959C320F86ca18
